entry,image,pinned
bitnami-contour-21-1-4-default,docker.io/bitnami/contour:1.32.1-debian-12-r0,tag
bitnami-contour-21-1-4-default,docker.io/bitnami/envoy:1.34.5-debian-12-r0,tag
bitnami-contour-21-1-4-legacy,docker.io/bitnamilegacy/contour:1.32.1-debian-12-r0,tag
bitnami-contour-21-1-4-legacy,docker.io/bitnamilegacy/envoy:1.34.5-debian-12-r0,tag
bitnami-contour-21-1-4-no-crds,docker.io/bitnami/contour:1.32.1-debian-12-r0,tag
bitnami-contour-21-1-4-no-crds,docker.io/bitnami/envoy:1.34.5-debian-12-r0,tag
bitnami-elasticsearch-22-1-6-default,docker.io/bitnami/elasticsearch:9.1.2-debian-12-r0,tag
bitnami-elasticsearch-22-1-6-default,docker.io/bitnami/os-shell:12-debian-12-r50,tag
bitnami-elasticsearch-22-1-6-ha,docker.io/bitnami/elasticsearch:9.1.2-debian-12-r0,tag
bitnami-elasticsearch-22-1-6-ha,docker.io/bitnami/os-shell:12-debian-12-r50,tag
bitnami-elasticsearch-22-1-6-legacy,docker.io/bitnamilegacy/elasticsearch:9.1.2-debian-12-r0,tag
bitnami-elasticsearch-22-1-6-legacy,docker.io/bitnamilegacy/os-shell:12-debian-12-r50,tag
bitnami-memcached-8-5-5-default,registry-1.docker.io/bitnami/memcached:latest,tag
bitnami-mongodb-19-0-7-existing-secret-replicaset,registry-1.docker.io/bitnami/mongodb@sha256:594309a857f5254bc2ee6b5e538f680696f9c7e2bf20279ca3fec49f682de44e,digest
bitnami-mongodb-19-0-7-static-passwords,registry-1.docker.io/bitnami/mongodb@sha256:594309a857f5254bc2ee6b5e538f680696f9c7e2bf20279ca3fec49f682de44e,digest
bitnami-mongodb-19-0-9-existing-secret-replicaset,registry-1.docker.io/bitnami/mongodb@sha256:594309a857f5254bc2ee6b5e538f680696f9c7e2bf20279ca3fec49f682de44e,digest
bitnami-mongodb-19-0-9-static-passwords,registry-1.docker.io/bitnami/mongodb@sha256:594309a857f5254bc2ee6b5e538f680696f9c7e2bf20279ca3fec49f682de44e,digest
bitnami-mongodb-19-1-0-existing-secret-replicaset,registry-1.docker.io/bitnami/mongodb@sha256:594309a857f5254bc2ee6b5e538f680696f9c7e2bf20279ca3fec49f682de44e,digest
bitnami-mongodb-19-1-0-static-passwords,registry-1.docker.io/bitnami/mongodb@sha256:594309a857f5254bc2ee6b5e538f680696f9c7e2bf20279ca3fec49f682de44e,digest
bitnami-mysql-14-0-3-existing-secret,docker.io/bitnamilegacy/mysql:9.4.0-debian-12-r1,tag
bitnami-mysql-14-0-3-static-passwords,docker.io/bitnamilegacy/mysql:9.4.0-debian-12-r1,tag
bitnami-nginx-24-0-2-existing-tls-ingress,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
bitnami-nginx-24-0-2-http-clusterip,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
bitnami-nginx-24-0-4-existing-tls-ingress,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
bitnami-nginx-24-0-4-http-clusterip,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
bitnami-nginx-25-0-0-existing-tls-ingress,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
bitnami-nginx-25-0-0-http-clusterip,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
bitnami-opensearch-2-0-10-default,docker.io/bitnami/opensearch:3.2.0-debian-12-r0,tag
bitnami-opensearch-2-0-10-default,docker.io/bitnami/os-shell:12-debian-12-r51,tag
bitnami-opensearch-2-0-10-ha,docker.io/bitnami/opensearch:3.2.0-debian-12-r0,tag
bitnami-opensearch-2-0-10-ha,docker.io/bitnami/os-shell:12-debian-12-r51,tag
