rank,chart,version,recipe_path,package_path,helm_objects,cub_objects,semantic_match,rendered_sha256,scan_high,scan_medium,scan_low,uses_lookup,uses_generated_facts,uses_capabilities,uses_tpl,has_hooks,crds,cluster_rbac,webhooks,proof_focus
81,jaegertracing/jaeger-operator@2.57.0,2.57.0,recipes/jaegertracing/jaeger-operator/2.57.0,packages/jaegertracing/jaeger-operator/2.57.0,11,12,11/11,c17323ac7d71b000b42732323a79731fe3d9244ba4e641d8349a73a71b8807ab,0,3,0,false,false,false,false,false,1,false,true,"tracing operator, CRDs, RBAC"
82,velero/velero@12.0.1,12.0.1,recipes/velero/velero/12.0.1,packages/velero/velero/12.0.1,23,24,23/23,3fc8afa5a2077710e8e9a49df435b234925b373cdaf2209e66fada0044ef2c1b,0,15,0,false,true,true,true,true,13,true,false,"backup controller, CRDs, cloud credentials"
83,coredns/coredns@1.45.2,1.45.2,recipes/coredns/coredns/1.45.2,packages/coredns/coredns/1.45.2,5,6,5/5,e9d0e20ceb7a6ec8e8189aa63d5fcba50be11360c7b734e57b84ad0556b1ca34,1,2,0,false,true,true,true,false,0,true,false,"DNS deployment, Service, config"
84,descheduler/descheduler@0.36.0,0.36.0,recipes/descheduler/descheduler/0.36.0,packages/descheduler/descheduler/0.36.0,5,6,5/5,23cfd1f815897db367d88feb42f54c765ed17f435cb779cd8dec5ecb196da707,0,2,0,false,false,false,true,false,0,true,false,"scheduler maintenance controller, RBAC, CronJob/Deployment modes"
85,haproxytech/kubernetes-ingress@1.52.0,1.52.0,recipes/haproxytech/kubernetes-ingress/1.52.0,packages/haproxytech/kubernetes-ingress/1.52.0,7,8,7/7,d04b79ade525cfe276e761918d319794e8e662ef896ae3418a42e7c781ded544,0,2,0,true,true,true,true,true,0,true,false,"ingress controller, RBAC, Service exposure"
86,percona/pxc-operator@1.19.1,1.19.1,recipes/percona/pxc-operator/1.19.1,packages/percona/pxc-operator/1.19.1,7,8,7/7,769b3b65e8543cd4ae04c498b6793f5f9e84b611bff8ec07b7fbaa5efaac8dc6,0,3,0,true,false,false,false,false,3,false,false,"Percona XtraDB operator, CRDs, RBAC"
87,percona/pg-operator@3.0.0,3.0.0,recipes/percona/pg-operator/3.0.0,packages/percona/pg-operator/3.0.0,12,13,12/12,bf309d7e26c9351501282530b3707719d97e87593333150163c468461725a8ff,0,8,0,true,false,false,false,false,8,false,false,"PostgreSQL operator, CRDs, RBAC"
88,percona/psmdb-operator@1.22.0,1.22.0,recipes/percona/psmdb-operator/1.22.0,packages/percona/psmdb-operator/1.22.0,7,8,7/7,a9ae26e197ef3e108ecab8c30f630ce24004a29b670916169ae6634198b96936,0,3,0,true,false,false,false,false,3,false,false,"MongoDB operator, CRDs, RBAC"
89,elastic/kibana@8.5.1,8.5.1,recipes/elastic/kibana/8.5.1,packages/elastic/kibana/8.5.1,2,3,2/2,3c0e03c571ed6c5635edd63244a0085634a30bd73e011e2db802c9d1c63b0cb3,0,0,0,false,false,false,true,true,0,false,false,"Elastic UI workload, Secret/config"
90,elastic/logstash@8.5.1,8.5.1,recipes/elastic/logstash/8.5.1,packages/elastic/logstash/8.5.1,3,4,3/3,1bb5971d54f2bb9fd05ffe69b339261a9c31e8b81eeba48064a9dbc337fe5ecd,0,0,0,false,false,true,true,false,0,false,false,"log processing workload, ConfigMap pipeline"
91,elastic/filebeat@8.5.1,8.5.1,recipes/elastic/filebeat/8.5.1,packages/elastic/filebeat/8.5.1,7,8,7/7,690fcc3d2e2d1019f35b7d9ec64ba0783b4dc445a2060c400d49dae6a251e020,0,2,0,false,false,false,true,false,0,true,false,"DaemonSet, host mounts, log collection"
92,elastic/metricbeat@8.5.1,8.5.1,recipes/elastic/metricbeat/8.5.1,packages/elastic/metricbeat/8.5.1,14,15,14/14,805a258f07a07f1cdef0ee45ee427a06e28cc18380e52368840efeb7b672e939,0,4,0,false,false,true,true,false,0,true,false,"DaemonSet and Deployment metric collectors, RBAC"
93,nats/nats@2.14.0,2.14.0,recipes/nats/nats/2.14.0,packages/nats/nats/2.14.0,7,8,7/7,395344e7541927ec138080eda2a92f6ce69532966040ce5d689f9852a4cee8da,0,1,0,false,false,false,true,true,0,false,false,"messaging server, StatefulSet, config"
94,nats/nack@0.34.0,0.34.0,recipes/nats/nack/0.34.0,packages/nats/nack/0.34.0,10,11,10/10,3578a1e913da259083e95b1bca9492a5e1aac8ae270e2871eb05c5f0c5f6c3c9,0,8,0,false,true,false,true,false,6,true,false,"NATS controller, CRDs, RBAC"
95,nats/surveyor@0.20.9,0.20.9,recipes/nats/surveyor/0.20.9,packages/nats/surveyor/0.20.9,3,4,3/3,c39b6dd56b5c2dfaedd3860e71d1eaaed9083354b35e4cef70eae6f9b982a7b1,0,0,0,false,false,true,false,false,0,false,false,NATS observability exporter
96,strimzi/strimzi-kafka-operator@1.0.0,1.0.0,recipes/strimzi/strimzi-kafka-operator/1.0.0,packages/strimzi/strimzi-kafka-operator/1.0.0,27,28,27/27,f3cfe3329c6673870bb6ecd1d31cab9d74ee96695d6b2b6fbfb0f4a1a7b9f23b,0,20,0,true,false,true,true,false,10,true,false,"Kafka operator, CRDs, RBAC"
97,minio-operator/operator@7.1.1,7.1.1,recipes/minio-operator/operator/7.1.1,packages/minio-operator/operator/7.1.1,8,9,8/8,3ac734cc8872f78365a7649830f706dc43341bba596b7ff266be2862f0f28b0a,1,4,0,false,false,false,false,false,2,true,false,"object storage operator, CRDs, RBAC"
98,minio-operator/tenant@7.1.1,7.1.1,recipes/minio-operator/tenant/7.1.1,packages/minio-operator/tenant/7.1.1,2,3,2/2,4577edd3c6c83479b029c32a8e41e966b19ef3810e062c156c5c54850c4ab32a,0,1,0,false,false,false,true,false,0,false,false,object storage tenant custom resources
99,opencost/opencost@2.5.21,2.5.21,recipes/opencost/opencost/2.5.21,packages/opencost/opencost/2.5.21,6,7,6/6,3cf0267ce7b5173e0c514fad903e559129d63d2f9a6bb83da681dcff1f7977dc,0,2,0,false,false,true,true,false,0,true,false,cost analysis workload and Service
100,falcosecurity/falco@9.0.0,9.0.0,recipes/falcosecurity/falco/9.0.0,packages/falcosecurity/falco/9.0.0,6,7,6/6,e417f53227667413d5d51b89157f00c603af2cd613e282816c27df69408f7648,0,2,0,true,true,true,true,true,0,false,false,"runtime security DaemonSet, privileged/host access review"
