chart,base_variant,variant_path,path_type,quirk_origin,render_proof_status,installer_proof_status,scan_status,gitops_status,live_status,remaining_gap,evidence_path,notes
prometheus-community/kube-state-metrics@7.4.0,cluster-metrics-readonly,cluster-metrics-readonly,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-kube-state-metrics-7.4.0-cluster-metrics-readonly/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/kube-state-metrics@7.4.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-kube-state-metrics-7.4.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-adapter@5.3.0,cluster-metrics-readonly,cluster-metrics-readonly,base-variant,chart-or-base,pass,missing,missing,missing,blocked,confighub_upload_variant_scan_safe_ops;local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-adapter-5.3.0-cluster-metrics-readonly/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-adapter@5.3.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,blocked,confighub_upload_variant_scan_safe_ops;local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-adapter-5.3.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-blackbox-exporter@11.10.0,cluster-metrics-readonly,cluster-metrics-readonly,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-blackbox-exporter-11.10.0-cluster-metrics-readonly/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-blackbox-exporter@11.10.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-blackbox-exporter-11.10.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-node-exporter@4.55.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-node-exporter/4.55.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-node-exporter-4.55.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-operator-crds@29.0.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-operator-crds/29.0.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-operator-crds-29.0.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-pushgateway@3.6.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-pushgateway/3.6.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-pushgateway-3.6.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus@29.8.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus/29.8.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-29.8.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/prometheus-community-prometheus-default/receipt.yaml
prometheus-community/prometheus@29.8.0,default,prod-us-east,derived-confighub-variant,post-render-path,inherits-base-render,post-upload-clone,check-receipt-required,not-target-bound,not-attempted,target/live evidence may be separate,runs/derived-variant-execution/prometheus-prod-us-east/variant-create-receipt.yaml,sourceSpace=helm-prometheus-confighub-proof;downstreamSpace=Prometheus-prod-us-east
prometheus-community/prometheus@29.8.0,default,staging-eu-west,derived-confighub-variant,post-render-path,inherits-base-render,post-upload-clone,check-receipt-required,not-target-bound,not-attempted,target/live evidence may be separate,runs/derived-variant-execution/prometheus-staging-eu-west/variant-create-receipt.yaml,sourceSpace=helm-prometheus-confighub-proof;downstreamSpace=Prometheus-staging-eu-west
prometheus-community/prometheus@29.8.0,server-only-ephemeral,server-only-ephemeral,base-variant,chart-or-base,pass,pass,pass,pass,pass,none,recipes/prometheus-community/prometheus/29.8.0/revisions/server-only-ephemeral/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-confighub-proof/latest/confighub-proof-receipt.yaml | runs/top20-local-kind/prometheus-server-only-ephemeral/observation-receipt.json | runs/live-helm-confighub-compare/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml | runs/live-kind-parity/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml
prometheus-community/prometheus@29.9.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus/29.9.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-29.9.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus@29.9.0,server-only-ephemeral,server-only-ephemeral,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus/29.9.0/revisions/server-only-ephemeral/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-29.9.0-server-only-ephemeral/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
rook-release/rook-ceph-cluster@v1.19.5,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/rook-release/rook-ceph-cluster/v1.19.5/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/rook-release-rook-ceph-cluster-v1.19.5-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
rook-release/rook-ceph@v1.19.5,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/rook-release/rook-ceph/v1.19.5/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/rook-release-rook-ceph-v1.19.5-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
runix/pgadmin4@1.62.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/runix/pgadmin4/1.62.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/runix-pgadmin4-1.62.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
