LAST SEEN   TYPE      REASON                    OBJECT                                                            MESSAGE
8s          Normal    BackOff                   pod/elasticsearch-coordinating-0                                  Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
8s          Warning   Failed                    pod/elasticsearch-coordinating-0                                  Error: ImagePullBackOff
8s          Warning   Failed                    pod/elasticsearch-coordinating-1                                  Failed to pull image "docker.io/bitnami/os-shell:12-debian-12-r50": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/os-shell:12-debian-12-r50": failed to resolve reference "docker.io/bitnami/os-shell:12-debian-12-r50": docker.io/bitnami/os-shell:12-debian-12-r50: not found
8s          Warning   Failed                    pod/elasticsearch-coordinating-1                                  Error: ErrImagePull
7s          Warning   Failed                    pod/elasticsearch-ingest-0                                        Failed to pull image "docker.io/bitnami/os-shell:12-debian-12-r50": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/os-shell:12-debian-12-r50": failed to resolve reference "docker.io/bitnami/os-shell:12-debian-12-r50": docker.io/bitnami/os-shell:12-debian-12-r50: not found
7s          Warning   Failed                    pod/elasticsearch-coordinating-1                                  Error: ImagePullBackOff
7s          Normal    ExternalProvisioning      persistentvolumeclaim/data-elasticsearch-master-1                 Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
7s          Normal    ExternalProvisioning      persistentvolumeclaim/data-elasticsearch-master-0                 Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
7s          Normal    ExternalProvisioning      persistentvolumeclaim/data-elasticsearch-data-1                   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
7s          Warning   Failed                    pod/elasticsearch-ingest-0                                        Error: ErrImagePull
7s          Normal    ExternalProvisioning      persistentvolumeclaim/data-elasticsearch-data-0                   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
7s          Normal    BackOff                   pod/elasticsearch-coordinating-1                                  Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
6s          Warning   Failed                    pod/elasticsearch-ingest-1                                        Error: ImagePullBackOff
6s          Normal    BackOff                   pod/elasticsearch-ingest-0                                        Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
6s          Warning   Failed                    pod/elasticsearch-ingest-1                                        Failed to pull image "docker.io/bitnami/os-shell:12-debian-12-r50": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/os-shell:12-debian-12-r50": failed to resolve reference "docker.io/bitnami/os-shell:12-debian-12-r50": docker.io/bitnami/os-shell:12-debian-12-r50: not found
6s          Warning   Failed                    pod/elasticsearch-ingest-1                                        Error: ErrImagePull
6s          Normal    BackOff                   pod/elasticsearch-ingest-1                                        Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
6s          Normal    Scheduled                 pod/elasticsearch-data-0                                          Successfully assigned default/elasticsearch-data-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
6s          Warning   Failed                    pod/elasticsearch-ingest-0                                        Error: ImagePullBackOff
6s          Normal    ProvisioningSucceeded     persistentvolumeclaim/data-elasticsearch-data-0                   Successfully provisioned volume pvc-9daf9101-88dc-44ad-a637-03ce589595b5
5s          Normal    ProvisioningSucceeded     persistentvolumeclaim/data-elasticsearch-data-1                   Successfully provisioned volume pvc-55f97827-fb22-486e-a0df-6e42989d5038
5s          Normal    Scheduled                 pod/elasticsearch-data-1                                          Successfully assigned default/elasticsearch-data-1 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
5s          Warning   Failed                    pod/elasticsearch-data-0                                          Error: ErrImagePull
5s          Warning   Failed                    pod/elasticsearch-data-0                                          Failed to pull image "docker.io/bitnami/os-shell:12-debian-12-r50": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/os-shell:12-debian-12-r50": failed to resolve reference "docker.io/bitnami/os-shell:12-debian-12-r50": docker.io/bitnami/os-shell:12-debian-12-r50: not found
5s          Normal    Pulling                   pod/elasticsearch-data-0                                          Pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
4s          Normal    Scheduled                 pod/elasticsearch-master-0                                        Successfully assigned default/elasticsearch-master-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
4s          Warning   Failed                    pod/elasticsearch-data-0                                          Error: ImagePullBackOff
4s          Normal    BackOff                   pod/elasticsearch-data-0                                          Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
4s          Normal    Scheduled                 pod/elasticsearch-master-1                                        Successfully assigned default/elasticsearch-master-1 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
4s          Normal    ProvisioningSucceeded     persistentvolumeclaim/data-elasticsearch-master-0                 Successfully provisioned volume pvc-a24f197c-5e7d-4a8e-b0e9-460b50b4d983
4s          Normal    ProvisioningSucceeded     persistentvolumeclaim/data-elasticsearch-master-1                 Successfully provisioned volume pvc-f9bd2791-4bb5-4b4b-8a32-5f6a87ecfc07
4s          Normal    Pulling                   pod/elasticsearch-data-1                                          Pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
3s          Warning   Failed                    pod/elasticsearch-data-1                                          Error: ErrImagePull
