LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
7m22s       Normal    Pulled              pod/ebs-csi-controller-c69844876-mzqxv    Successfully pulled image "public.ecr.aws/csi-components/csi-resizer:v2.1.0-eksbuild.6" in 652ms (7.133s including waiting). Image size: 37287243 bytes.
7m22s       Normal    Created             pod/ebs-csi-controller-c69844876-mzqxv    Container created
7m22s       Normal    Started             pod/ebs-csi-controller-c69844876-mzqxv    Container started
7m22s       Normal    Pulled              pod/ebs-csi-controller-c69844876-mzqxv    Container image "public.ecr.aws/csi-components/livenessprobe:v2.18.0-eksbuild.6" already present on machine and can be accessed by the pod
7m22s       Normal    Started             pod/ebs-csi-controller-c69844876-lmwn7    Container started
7m22s       Normal    Started             pod/ebs-csi-controller-c69844876-mzqxv    Container started
7m21s       Normal    Pulled              pod/ebs-csi-controller-c69844876-mzqxv    Container image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1" already present on machine and can be accessed by the pod
7m21s       Normal    Created             pod/ebs-csi-controller-c69844876-mzqxv    Container created
7m21s       Normal    Pulled              pod/ebs-csi-controller-c69844876-lmwn7    Container image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1" already present on machine and can be accessed by the pod
7m21s       Normal    Started             pod/ebs-csi-controller-c69844876-mzqxv    Container started
7m21s       Normal    Created             pod/ebs-csi-controller-c69844876-lmwn7    Container created
7m21s       Normal    Started             pod/ebs-csi-controller-c69844876-lmwn7    Container started
7m14s       Normal    Started             pod/ebs-csi-controller-c69844876-lmwn7    Container started
7m14s       Normal    Created             pod/ebs-csi-controller-c69844876-lmwn7    Container created
7m10s       Normal    Started             pod/ebs-csi-node-krjkc                    Container started
7m10s       Normal    Created             pod/ebs-csi-node-krjkc                    Container created
7m9s        Normal    Created             pod/ebs-csi-controller-c69844876-mzqxv    Container created
7m9s        Normal    Started             pod/ebs-csi-controller-c69844876-mzqxv    Container started
6m40s       Normal    Pulled              pod/ebs-csi-node-krjkc                    Container image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1" already present on machine and can be accessed by the pod
6m40s       Normal    Created             pod/ebs-csi-node-krjkc                    Container created
6m40s       Normal    Started             pod/ebs-csi-node-krjkc                    Container started
6m37s       Warning   BackOff             pod/ebs-csi-controller-c69844876-lmwn7    Back-off restarting failed container csi-provisioner in pod ebs-csi-controller-c69844876-lmwn7_default-helm(45fbc071-11af-49db-aa83-f62bd4ad1bed)
