LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
4s          Warning   Failed                    pod/zookeeper-0                                               Failed to pull image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": failed to resolve reference "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": docker.io/bitnami/zookeeper:3.9.3-debian-12-r21: not found
4s          Normal    BackOff                   pod/zookeeper-2                                               Back-off pulling image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21"
4s          Warning   Failed                    pod/zookeeper-2                                               Error: ImagePullBackOff
4s          Warning   Failed                    pod/zookeeper-0                                               Error: ErrImagePull
3s          Warning   Failed                    pod/zookeeper-1                                               Error: ErrImagePull
3s          Warning   Failed                    pod/zookeeper-1                                               Failed to pull image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": failed to resolve reference "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": docker.io/bitnami/zookeeper:3.9.3-debian-12-r21: not found
3s          Warning   Failed                    pod/zookeeper-0                                               Error: ImagePullBackOff
3s          Normal    BackOff                   pod/zookeeper-0                                               Back-off pulling image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21"
2s          Warning   Failed                    pod/zookeeper-1                                               Error: ImagePullBackOff
2s          Normal    BackOff                   pod/zookeeper-1                                               Back-off pulling image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21"
