chart,base,result,route,staged_secret,staged_secret_keys,staged_crds,staged_crd_count,staged_crd_source,generation_method,paired_observation,staging_receipt,observed_at,proof_boundary
ingress-nginx/ingress-nginx@4.15.1,default,pass,generated-fact-staged-secret,ingress-nginx/ingress-nginx-admission,cert;key,,0,,local-self-signed-certificate,runs/next80-local-kind/ingress-nginx-ingress-nginx-4.15.1-default/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/ingress-nginx-ingress-nginx-4.15.1-default.yaml,2026-06-11T17:59:51.029Z,"Does not claim production CA trust, admission policy safety, certificate rotation, or long-term serving certificate management."
fairwinds-stable/vpa@4.11.0,default,pass,generated-fact-staged-secret,default/vpa-tls-secret,ca;cert;key,,0,,local-self-signed-certificate,runs/next80-local-kind/fairwinds-stable-vpa-4.11.0-default/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/fairwinds-stable-vpa-4.11.0-default.yaml,2026-06-11T17:59:31.787Z,"Does not claim production CA trust, admission policy safety, certificate rotation, or long-term serving certificate management."
fairwinds-stable/vpa@4.11.0,no-crds,pass,target-facts-staged-crds-and-secret,default/vpa-tls-secret,ca;cert;key,verticalpodautoscalercheckpoints.autoscaling.k8s.io;verticalpodautoscalers.autoscaling.k8s.io,2,recipes/fairwinds-stable/vpa/4.11.0/revisions/default/r001/rendered/release-objects.yaml,local-self-signed-certificate,runs/next80-local-kind/fairwinds-stable-vpa-4.11.0-no-crds/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/fairwinds-stable-vpa-4.11.0-no-crds.yaml,2026-06-11T18:28:16.474Z,"Does not claim production CA trust, admission policy safety, certificate rotation, long-term serving certificate management, or CRD upgrade safety."
prometheus-community/kube-prometheus-stack@86.1.0,default,pass,generated-fact-staged-secret,monitoring/kube-prometheus-stack-admission,cert;key,,0,,local-self-signed-certificate,runs/next80-local-kind/prometheus-community-kube-prometheus-stack-86.1.0-default/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-86.1.0-default.yaml,2026-06-11T18:11:32.702Z,"Does not claim production CA trust, admission policy safety, certificate rotation, or long-term serving certificate management."
prometheus-community/kube-prometheus-stack@86.1.0,no-crds,pass,target-facts-staged-crds-and-secret,monitoring/kube-prometheus-stack-admission,cert;key,alertmanagerconfigs.monitoring.coreos.com;alertmanagers.monitoring.coreos.com;podmonitors.monitoring.coreos.com;probes.monitoring.coreos.com;prometheusagents.monitoring.coreos.com;prometheuses.monitoring.coreos.com;prometheusrules.monitoring.coreos.com;scrapeconfigs.monitoring.coreos.com;servicemonitors.monitoring.coreos.com;thanosrulers.monitoring.coreos.com,10,recipes/prometheus-community/kube-prometheus-stack/86.1.0/revisions/default/r001/rendered/release-objects.yaml,local-self-signed-certificate,runs/next80-local-kind/prometheus-community-kube-prometheus-stack-86.1.0-no-crds/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-86.1.0-no-crds.yaml,2026-06-11T18:13:55.489Z,"Does not claim production CA trust, admission policy safety, certificate rotation, long-term serving certificate management, or CRD upgrade safety."
prometheus-community/kube-prometheus-stack@85.3.3,no-crds,pass,target-facts-staged-crds-and-secret,monitoring/kube-prometheus-stack-admission,cert;key,alertmanagerconfigs.monitoring.coreos.com;alertmanagers.monitoring.coreos.com;podmonitors.monitoring.coreos.com;probes.monitoring.coreos.com;prometheusagents.monitoring.coreos.com;prometheuses.monitoring.coreos.com;prometheusrules.monitoring.coreos.com;scrapeconfigs.monitoring.coreos.com;servicemonitors.monitoring.coreos.com;thanosrulers.monitoring.coreos.com,10,recipes/prometheus-community/kube-prometheus-stack/85.3.3/revisions/default/r001/rendered/release-objects.yaml,local-self-signed-certificate,runs/next80-local-kind/prometheus-community-kube-prometheus-stack-85.3.3-no-crds/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-85.3.3-no-crds.yaml,2026-06-11T18:16:07.506Z,"Does not claim production CA trust, admission policy safety, certificate rotation, long-term serving certificate management, or CRD upgrade safety."
autoscaler/vertical-pod-autoscaler@0.9.0,default,pass,generated-fact-staged-secret,default/vpa-tls-certs,ca;cert;key,,0,,local-self-signed-certificate,runs/next80-local-kind/autoscaler-vertical-pod-autoscaler-0.9.0-default/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/autoscaler-vertical-pod-autoscaler-0.9.0-default.yaml,2026-06-17T10:20:40.239Z,"Does not claim production CA trust, admission policy safety, certificate rotation, or long-term serving certificate management."
autoscaler/vertical-pod-autoscaler@0.9.0,no-crds,pass,generated-fact-staged-secret,default/vpa-tls-certs,ca;cert;key,,0,,local-self-signed-certificate,runs/next80-local-kind/autoscaler-vertical-pod-autoscaler-0.9.0-no-crds/observation-receipt.yaml,data/webhook-cert-lifecycle/receipts/autoscaler-vertical-pod-autoscaler-0.9.0-no-crds.yaml,2026-06-17T10:21:14.782Z,"Does not claim production CA trust, admission policy safety, certificate rotation, or long-term serving certificate management."
