chart,version,applicable_skills,skill_count,top_skill,matched_signals,skill_docs
elastic/eck-operator,3.4.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,webhooks; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
elastic/filebeat,8.5.1,,0,none,,
elastic/kibana,8.5.1,,0,none,,
elastic/logstash,8.5.1,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
elastic/metricbeat,8.5.1,target-facts-and-lifecycle,1,target-facts-and-lifecycle,stateful-storage,docs/skills/target-facts-and-lifecycle.md
external-dns/external-dns,1.21.1,target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,3,target-facts-and-lifecycle,crds; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
external-secrets/external-secrets,2.5.0,serious-chart-playbooks; large-app-evidence-funnel; live-parity,3,serious-chart-playbooks,named-serious; live,docs/skills/serious-chart-playbooks.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
fairwinds-stable/goldilocks,10.3.0,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,crds+webhooks; generated-facts; webhooks; crds; lookup; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
fairwinds-stable/vpa,4.11.0,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,crds+webhooks; webhooks; crds; lookup; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
falcosecurity/falco,9.0.0,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,lookup; stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
falcosecurity/falcosidekick,0.13.1,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
fluent/fluent-bit,0.57.6,hook-and-secret-lifecycle; live-parity,2,hook-and-secret-lifecycle,hooks:1; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/live-parity.md
fluent/fluentd,0.5.3,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
gatekeeper/gatekeeper,3.22.2,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,crds+webhooks; hooks:4; webhooks; crds; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
gitlab/gitlab-runner,0.89.0,hook-and-secret-lifecycle; target-facts-and-lifecycle,2,hook-and-secret-lifecycle,generated-facts,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md
grafana/alloy,1.8.2,target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,3,target-facts-and-lifecycle,crds; stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
grafana/grafana,10.5.15,live-parity,1,live-parity,live,docs/skills/live-parity.md
grafana/loki,7.0.0,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,named-serious; generated-facts; webhooks; crds; lookup; stateful-storage; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
grafana/promtail,6.17.1,live-parity,1,live-parity,live,docs/skills/live-parity.md
grafana/pyroscope,2.0.2,hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,4,hook-and-secret-lifecycle,generated-facts; crds; lookup; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
grafana/rollout-operator,0.49.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
grafana/tempo,1.24.4,live-parity,1,live-parity,live,docs/skills/live-parity.md
haproxytech/kubernetes-ingress,1.52.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
hashicorp/consul,2.0.0,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,named-serious; webhooks; stateful-storage; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
hashicorp/terraform,1.1.2,target-facts-and-lifecycle; large-app-evidence-funnel,2,target-facts-and-lifecycle,crds,docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md
hashicorp/vault,0.32.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,webhooks; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
ingress-nginx/ingress-nginx,4.15.1,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,webhooks; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
istio/gateway,1.30.0,,0,none,,
istio/istiod,1.30.0,,0,none,,
jaegertracing/jaeger-operator,2.57.0,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,crds+webhooks; webhooks; crds; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
jaegertracing/jaeger,4.8.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; lookup; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
jetstack/cert-manager-csi-driver,v0.14.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
jetstack/cert-manager,v1.20.2,serious-chart-playbooks; large-app-evidence-funnel; live-parity,3,serious-chart-playbooks,named-serious; live,docs/skills/serious-chart-playbooks.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
jetstack/trust-manager,v0.22.1,live-parity,1,live-parity,live,docs/skills/live-parity.md
kedacore/keda,2.19.0,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,crds+webhooks; hooks:1; webhooks; crds; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
kyverno/kyverno-policies,3.8.0,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,lookup; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
kyverno/kyverno,3.8.1,hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,4,hook-and-secret-lifecycle,hooks:8; generated-facts; crds; lookup; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
linkerd/linkerd-crds,1.8.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
longhorn/longhorn,1.11.2,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
metrics-server/metrics-server,3.13.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; lookup; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
minio-operator/operator,7.1.1,live-parity,1,live-parity,live,docs/skills/live-parity.md
minio-operator/tenant,7.1.1,live-parity,1,live-parity,live,docs/skills/live-parity.md
nats/nack,0.34.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
nats/nats,2.14.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
nats/surveyor,0.20.9,,0,none,,
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,target-facts-and-lifecycle,1,target-facts-and-lifecycle,stateful-storage,docs/skills/target-facts-and-lifecycle.md
open-telemetry/opentelemetry-operator,0.114.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
opencost/opencost,2.5.21,target-facts-and-lifecycle,1,target-facts-and-lifecycle,stateful-storage,docs/skills/target-facts-and-lifecycle.md
percona/pg-operator,3.0.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
percona/psmdb-operator,1.22.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
percona/pxc-operator,1.19.1,target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,3,target-facts-and-lifecycle,crds; lookup; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
projectcalico/tigera-operator,v3.32.0,hook-and-secret-lifecycle; target-facts-and-lifecycle,2,hook-and-secret-lifecycle,hooks:1; lookup,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md
prometheus-community/alertmanager,1.37.0,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
prometheus-community/kube-prometheus-stack,85.3.3,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,named-serious; hooks:2; generated-facts; webhooks; crds; lookup; stateful-storage; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
prometheus-community/kube-prometheus-stack,86.1.0,serious-chart-playbooks; hook-and-secret-lifecycle; large-app-evidence-funnel; live-parity,4,serious-chart-playbooks,named-serious; hooks:2; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
prometheus-community/kube-state-metrics,7.4.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
prometheus-community/prometheus-adapter,5.3.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
prometheus-community/prometheus-blackbox-exporter,11.10.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
prometheus-community/prometheus-node-exporter,4.55.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
prometheus-community/prometheus-operator-crds,29.0.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,4,hook-and-secret-lifecycle,generated-facts; crds; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
prometheus-community/prometheus-pushgateway,3.6.0,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
