chart,version,base,variant,downstream_space,result,target,argo,runtime,blocker_ids,route_forward,receipt
bitnami/nginx,24.0.2,http-clusterip,prod-us-east,NGINX-prod-us-east,pass,helm-expt-derived-nginx-0605-cluster/oci,pass,pass,,,runs/derived-variant-target-bound/nginx-prod-us-east/receipt.yaml
bitnami/redis,25.5.3,default,staging-eu-west,Redis-staging-eu-west,blocked,<target-space>/oci,not-attempted,not-attempted,namespace-mutation-not-yet-modeled;redis-secret-delivery-not-yet-modeled,"Add a derived namespace mutation check for Redis or keep namespace as redis in the declared derived variant.; Model Redis Secret delivery explicitly: generated-secret receipt for default, or target-fact Secret binding for reuse-existing-secret.; After those capabilities exist, run the same target-bound live path used for NGINX and record Argo/runtime evidence.",runs/derived-variant-target-bound/redis-staging-eu-west/receipt.yaml
prometheus-community/prometheus,29.8.0,server-only-ephemeral,prod-us-east,Prometheus-prod-us-east,pass,helm-expt-derived-prometheus-0605-cluster/oci,pass,pass,,,runs/derived-variant-target-bound/prometheus-server-only-prod-us-east/receipt.yaml
