chart,version,package_path,installer_yaml,installer_oci_ref,publication_status,publication_receipt,published_digest,default_base,bases,base_count,rendered_yaml_paths,rendered_yaml_sha256s,external_requires_count,collector,transformers,public_catalog,proof_surface,chart_page,matrix_rows,setup_command,inspect_command,list_command
prometheus-community/alertmanager,1.37.0,packages/prometheus-community/alertmanager/1.37.0,packages/prometheus-community/alertmanager/1.37.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-alertmanager:1.37.0,published-receipt,runs/installer-oci/prometheus-community-alertmanager/1.37.0/installer-package-publication-receipt.yaml,beec8632d1ef811a83b81ea07825946022bb2ade2129b3727d18bce2c5ccc47e,default,default;ha,2,packages/prometheus-community/alertmanager/1.37.0/bases/default/upstream.yaml;packages/prometheus-community/alertmanager/1.37.0/bases/ha/upstream.yaml,fc6c693435a12f92b94f3f59435e1e23af1cf4b87fc4564cda64ea502e7e1dc6;a016dbf7647ff32935788288023d6dbd78b924f6cca645ef2081fe1d8856f8b4,0,no,0,yes,next80-proof-grade,site/charts/prometheus-community-alertmanager-1-37-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-alertmanager:1.37.0 --base default --work-dir .tmp/demo/prometheus-community-alertmanager-1-37-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-alertmanager:1.37.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-alertmanager
prometheus-community/kube-prometheus-stack,85.3.3,packages/prometheus-community/kube-prometheus-stack/85.3.3,packages/prometheus-community/kube-prometheus-stack/85.3.3/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:85.3.3,published-receipt,runs/installer-oci/prometheus-community-kube-prometheus-stack/85.3.3/installer-package-publication-receipt.yaml,cd92ab8dbd15343e9ece4bdaab87d3ca6ab5820d87c11bd3497b400c9d220798,default,default;no-crds,2,packages/prometheus-community/kube-prometheus-stack/85.3.3/bases/default/upstream.yaml;packages/prometheus-community/kube-prometheus-stack/85.3.3/bases/no-crds/upstream.yaml,9fac2a0e4140eee298c84ce61f13dd8ca392bb92e2037d0ef0aaa4d8015ee491;3f6049fc2b7a40bbfb009b347880e3f319a87c9b60a6fd274220287a10167fc2,22,yes,0,yes,top20-catalog-supported,site/charts/prometheus-community-kube-prometheus-stack-85-3-3.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:85.3.3 --base default --work-dir .tmp/demo/prometheus-community-kube-prometheus-stack-85-3-3-default --non-interactive --namespace monitoring,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:85.3.3,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack
prometheus-community/kube-prometheus-stack,86.1.0,packages/prometheus-community/kube-prometheus-stack/86.1.0,packages/prometheus-community/kube-prometheus-stack/86.1.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:86.1.0,published-receipt,runs/installer-oci/prometheus-community-kube-prometheus-stack/86.1.0/installer-package-publication-receipt.yaml,e4d8f1daec87a415662c629478c11280e242cbdf92bd796d85cab880b1c036b5,default,default;no-crds,2,packages/prometheus-community/kube-prometheus-stack/86.1.0/bases/default/upstream.yaml;packages/prometheus-community/kube-prometheus-stack/86.1.0/bases/no-crds/upstream.yaml,58c19d82e70831986861de45eba5697418105140625afa840f5e329f1c21d1dd;671c6f820a2cc2b381d056f112ad1750b36d08b01e9e1ff5bc503cfa81a56e87,22,yes,0,no,,,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:86.1.0 --base default --work-dir .tmp/demo/prometheus-community-kube-prometheus-stack-86-1-0-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:86.1.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack
prometheus-community/kube-prometheus-stack,87.15.1,packages/prometheus-community/kube-prometheus-stack/87.15.1,packages/prometheus-community/kube-prometheus-stack/87.15.1/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:87.15.1,published-receipt,runs/installer-oci/prometheus-community-kube-prometheus-stack/87.15.1/installer-package-publication-receipt.yaml,1d76ec443339ee41cae97ef94c276d43bdc346de4ae6d86cf50ccab5a7b9c375,default,default;no-crds;existing-secret,3,packages/prometheus-community/kube-prometheus-stack/87.15.1/bases/default/upstream.yaml;packages/prometheus-community/kube-prometheus-stack/87.15.1/bases/no-crds/upstream.yaml;packages/prometheus-community/kube-prometheus-stack/87.15.1/bases/existing-secret/upstream.yaml,97b4a93ca243b74fc8f39ac939701c5247eb24cd01d5eb5bfe86b81972759c09;2c8ba25e823226825ed50e190ae7a938d33531713ec63b8dcd9ebb851a8487f2;7297b2aaced5ed2e6e6bd040af1114b0f4360fa4fdebbb1d63a1ce65d89edfcc,34,yes,0,no,,,0,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:87.15.1 --base default --work-dir .tmp/demo/prometheus-community-kube-prometheus-stack-87-15-1-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:87.15.1,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack
prometheus-community/kube-prometheus-stack,87.19.2,packages/prometheus-community/kube-prometheus-stack/87.19.2,packages/prometheus-community/kube-prometheus-stack/87.19.2/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:87.19.2,published-receipt,runs/installer-oci/prometheus-community-kube-prometheus-stack/87.19.2/installer-package-publication-receipt.yaml,7f2c47213f1df203c3b5996d28d15a90f38125c31cc9dcf21f49c0483fe57291,default,default;no-crds;existing-secret,3,packages/prometheus-community/kube-prometheus-stack/87.19.2/bases/default/upstream.yaml;packages/prometheus-community/kube-prometheus-stack/87.19.2/bases/no-crds/upstream.yaml;packages/prometheus-community/kube-prometheus-stack/87.19.2/bases/existing-secret/upstream.yaml,f93812ce23b92c73c0bcc223d5c4efd125e80430b846dc41aa874eee09f67d99;86d54113ec12fcea838d30e7e2ff6722de375bd0f6cc0e09ab8a14078c941446;c0a62fce6407f18a6cbadb712a2b2570f51522f55bddc9ecaffcf30c5192ed2b,34,yes,0,no,,,0,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:87.19.2 --base default --work-dir .tmp/demo/prometheus-community-kube-prometheus-stack-87-19-2-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack:87.19.2,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-prometheus-stack
prometheus-community/kube-state-metrics,7.4.0,packages/prometheus-community/kube-state-metrics/7.4.0,packages/prometheus-community/kube-state-metrics/7.4.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-state-metrics:7.4.0,published-receipt,runs/installer-oci/prometheus-community-kube-state-metrics/7.4.0/installer-package-publication-receipt.yaml,1ad06e421a3e73ee277b877a1e62bb45a86251a621024be0944d5a82e3c49a90,default,default;cluster-metrics-readonly,2,packages/prometheus-community/kube-state-metrics/7.4.0/bases/default/upstream.yaml;packages/prometheus-community/kube-state-metrics/7.4.0/bases/cluster-metrics-readonly/upstream.yaml,b892be5f9969f39e3a7a0fadacde77cf3b9a86ca16485d5712cc2a476bda14bc;b892be5f9969f39e3a7a0fadacde77cf3b9a86ca16485d5712cc2a476bda14bc,0,no,0,yes,next80-proof-grade,site/charts/prometheus-community-kube-state-metrics-7-4-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-state-metrics:7.4.0 --base default --work-dir .tmp/demo/prometheus-community-kube-state-metrics-7-4-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-state-metrics:7.4.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-kube-state-metrics
prometheus-community/prometheus-adapter,5.3.0,packages/prometheus-community/prometheus-adapter/5.3.0,packages/prometheus-community/prometheus-adapter/5.3.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-adapter:5.3.0,published-receipt,runs/installer-oci/prometheus-community-prometheus-adapter/5.3.0/installer-package-publication-receipt.yaml,320271ebf91bcbb6d8e68b02b42436129a439c7098588c81ba21e1c34b7ccdea,default,default;apiservice-v1-capability;cluster-metrics-readonly,3,packages/prometheus-community/prometheus-adapter/5.3.0/bases/default/upstream.yaml;packages/prometheus-community/prometheus-adapter/5.3.0/bases/apiservice-v1-capability/upstream.yaml;packages/prometheus-community/prometheus-adapter/5.3.0/bases/cluster-metrics-readonly/upstream.yaml,50e586691867cf7be3f14a7c3e71839f3f8b6cae32b64a10f01362d68add983a;b1cfc0aa1c663e05e1c184d9cbc6e806feffb9456755ff81233058f05a795c23;50e586691867cf7be3f14a7c3e71839f3f8b6cae32b64a10f01362d68add983a,0,no,0,yes,next80-proof-grade,site/charts/prometheus-community-prometheus-adapter-5-3-0.html,6,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-adapter:5.3.0 --base default --work-dir .tmp/demo/prometheus-community-prometheus-adapter-5-3-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-adapter:5.3.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-adapter
prometheus-community/prometheus-blackbox-exporter,11.10.0,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter:11.10.0,published-receipt,runs/installer-oci/prometheus-community-prometheus-blackbox-exporter/11.10.0/installer-package-publication-receipt.yaml,3eb5efd08840b14d24050f793f65e86ea13fbf6ef09986298f9f76e2c142e040,default,default;cluster-metrics-readonly,2,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0/bases/default/upstream.yaml;packages/prometheus-community/prometheus-blackbox-exporter/11.10.0/bases/cluster-metrics-readonly/upstream.yaml,43dbd48cda5a6f5aa85365fdba15a04cb328d513a0123983ec943c505a01730c;43dbd48cda5a6f5aa85365fdba15a04cb328d513a0123983ec943c505a01730c,0,no,0,yes,next80-proof-grade,site/charts/prometheus-community-prometheus-blackbox-exporter-11-10-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter:11.10.0 --base default --work-dir .tmp/demo/prometheus-community-prometheus-blackbox-exporter-11-10-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter:11.10.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter
prometheus-community/prometheus-blackbox-exporter,11.15.1,packages/prometheus-community/prometheus-blackbox-exporter/11.15.1,packages/prometheus-community/prometheus-blackbox-exporter/11.15.1/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter:11.15.1,published-receipt,runs/installer-oci/prometheus-community-prometheus-blackbox-exporter/11.15.1/installer-package-publication-receipt.yaml,cbe762d1bb7ac8220d3532c03327f717b58712c3b9ab3bb72516bfd330793551,default,default,1,packages/prometheus-community/prometheus-blackbox-exporter/11.15.1/bases/default/upstream.yaml,988144ef5b62615e820a8ada37fe9c0f9ee80bb853d5ec65c55a928faeba0c70,0,no,0,no,,,0,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter:11.15.1 --base default --work-dir .tmp/demo/prometheus-community-prometheus-blackbox-exporter-11-15-1-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter:11.15.1,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-blackbox-exporter
prometheus-community/prometheus-node-exporter,4.55.0,packages/prometheus-community/prometheus-node-exporter/4.55.0,packages/prometheus-community/prometheus-node-exporter/4.55.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-node-exporter:4.55.0,published-receipt,runs/installer-oci/prometheus-community-prometheus-node-exporter/4.55.0/installer-package-publication-receipt.yaml,54c53d16d7f36a2002896fb1a2849560aafaf0c90032fc821a65d61a28e1426b,default,default;cluster-metrics-readonly,2,packages/prometheus-community/prometheus-node-exporter/4.55.0/bases/default/upstream.yaml;packages/prometheus-community/prometheus-node-exporter/4.55.0/bases/cluster-metrics-readonly/upstream.yaml,37862948d7c5d39d7be726864e9c71e6fb9e9fcc1ac40140e97153152aa6ffbc;76ee8c58c2b4022743468fcbc8ccd9414853d85b951edb720268e5466638ef0d,1,yes,0,yes,next80-proof-grade,site/charts/prometheus-community-prometheus-node-exporter-4-55-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-node-exporter:4.55.0 --base default --work-dir .tmp/demo/prometheus-community-prometheus-node-exporter-4-55-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-node-exporter:4.55.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-node-exporter
prometheus-community/prometheus-operator-crds,29.0.0,packages/prometheus-community/prometheus-operator-crds/29.0.0,packages/prometheus-community/prometheus-operator-crds/29.0.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-operator-crds:29.0.0,published-receipt,runs/installer-oci/prometheus-community-prometheus-operator-crds/29.0.0/installer-package-publication-receipt.yaml,98d72b767a771dc0ba76719874cc32fb7fd9216fe2786b7a27d6de99a1b73664,default,default,1,packages/prometheus-community/prometheus-operator-crds/29.0.0/bases/default/upstream.yaml,32cfda19c8684a1ad319476b44d9056af7824df3c06622b04a7e28d6bdfd5ab4,0,no,0,yes,next80-proof-grade,site/charts/prometheus-community-prometheus-operator-crds-29-0-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-operator-crds:29.0.0 --base default --work-dir .tmp/demo/prometheus-community-prometheus-operator-crds-29-0-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-operator-crds:29.0.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-operator-crds
prometheus-community/prometheus-pushgateway,3.6.0,packages/prometheus-community/prometheus-pushgateway/3.6.0,packages/prometheus-community/prometheus-pushgateway/3.6.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-pushgateway:3.6.0,published-receipt,runs/installer-oci/prometheus-community-prometheus-pushgateway/3.6.0/installer-package-publication-receipt.yaml,11684fe4f6cce5d4a032e5c1ddbbba4dde86fd5e12c933dc411add7ee38020a2,default,default,1,packages/prometheus-community/prometheus-pushgateway/3.6.0/bases/default/upstream.yaml,80cb018f0b277814e17ca7208be55ef10ed74288a258a6519e7bbcf088a9f450,0,no,0,yes,next80-proof-grade,site/charts/prometheus-community-prometheus-pushgateway-3-6-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-pushgateway:3.6.0 --base default --work-dir .tmp/demo/prometheus-community-prometheus-pushgateway-3-6-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-pushgateway:3.6.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus-pushgateway
prometheus-community/prometheus,29.8.0,packages/prometheus-community/prometheus/29.8.0,packages/prometheus-community/prometheus/29.8.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus:29.8.0,published-receipt,runs/installer-oci/prometheus-community-prometheus/29.8.0/installer-package-publication-receipt.yaml,ac86e0bf7ec6ab8d8e8c66298fb32791be696756480116fe833a4459e5bcc9e1,default,default;server-only-ephemeral,2,packages/prometheus-community/prometheus/29.8.0/bases/default/upstream.yaml;packages/prometheus-community/prometheus/29.8.0/bases/server-only-ephemeral/upstream.yaml,c11349803ddbb44562066474dd04d47d7c5c75d083dbc96162224573f949c11b;174e1729753ef551fa059f86111cfd87653ea2380dc879238cf5cc4987e78812,0,no,1,yes,top20-catalog-supported,site/charts/prometheus-community-prometheus-29-8-0.html,7,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus:29.8.0 --base default --work-dir .tmp/demo/prometheus-community-prometheus-29-8-0-default --non-interactive --namespace monitoring,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus:29.8.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus
prometheus-community/prometheus,29.9.0,packages/prometheus-community/prometheus/29.9.0,packages/prometheus-community/prometheus/29.9.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus:29.9.0,published-receipt,runs/installer-oci/prometheus-community-prometheus/29.9.0/installer-package-publication-receipt.yaml,05ad4d8e8867b8240e1e1f5fa8efd112469e689651c72dbcbc62466a1b96e4e9,default,default;server-only-ephemeral,2,packages/prometheus-community/prometheus/29.9.0/bases/default/upstream.yaml;packages/prometheus-community/prometheus/29.9.0/bases/server-only-ephemeral/upstream.yaml,08dacfbc1ecd3ef9956999398bbf30a7a8dd083dccde23c589853da525541d36;a1ff9f44451cc28aaeed183a5d36fdf2551dbc4647714a2565c30d9512a4af8b,0,no,0,no,,,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus:29.9.0 --base default --work-dir .tmp/demo/prometheus-community-prometheus-29-9-0-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus:29.9.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/prometheus-community-prometheus
rook-release/rook-ceph-cluster,v1.19.5,packages/rook-release/rook-ceph-cluster/v1.19.5,packages/rook-release/rook-ceph-cluster/v1.19.5/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph-cluster:v1.19.5,published-receipt,runs/installer-oci/rook-release-rook-ceph-cluster/v1.19.5/installer-package-publication-receipt.yaml,74b5c4c66365d352ddc3b9d3eb702e6c99438c29c12a75704f864c0bbc62314d,default,default,1,packages/rook-release/rook-ceph-cluster/v1.19.5/bases/default/upstream.yaml,5ac8f526459d6393552b66ab60f690c6c85a1e86bba45ea82d5bbf219694b010,6,yes,0,yes,next80-proof-grade,site/charts/rook-release-rook-ceph-cluster-v1-19-5.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph-cluster:v1.19.5 --base default --work-dir .tmp/demo/rook-release-rook-ceph-cluster-v1-19-5-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph-cluster:v1.19.5,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph-cluster
rook-release/rook-ceph,v1.19.5,packages/rook-release/rook-ceph/v1.19.5,packages/rook-release/rook-ceph/v1.19.5/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph:v1.19.5,published-receipt,runs/installer-oci/rook-release-rook-ceph/v1.19.5/installer-package-publication-receipt.yaml,21cc5c0af466f0342c024d0383b7104a86840cc8263da5a7e0b6f3d34ce5f0c4,default,default,1,packages/rook-release/rook-ceph/v1.19.5/bases/default/upstream.yaml,26789923789aab27d01638f52680ee6de6d982268eee3740cabc733142f67ba8,0,no,0,yes,next80-proof-grade,site/charts/rook-release-rook-ceph-v1-19-5.html,2,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph:v1.19.5 --base default --work-dir .tmp/demo/rook-release-rook-ceph-v1-19-5-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph:v1.19.5,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/rook-release-rook-ceph
runix/pgadmin4,1.62.0,packages/runix/pgadmin4/1.62.0,packages/runix/pgadmin4/1.62.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/runix-pgadmin4:1.62.0,published-receipt,runs/installer-oci/runix-pgadmin4/1.62.0/installer-package-publication-receipt.yaml,a7ebe7db9ddd892a94b0038baf48ab9900c59f3f959a55a59599fb248724aef2,default,default,1,packages/runix/pgadmin4/1.62.0/bases/default/upstream.yaml,78528d11d3b5ea8cf8c03e43834edbe87a944df1593c516867cc4e0389ba1565,0,no,0,yes,next80-proof-grade,site/charts/runix-pgadmin4-1-62-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/runix-pgadmin4:1.62.0 --base default --work-dir .tmp/demo/runix-pgadmin4-1-62-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/runix-pgadmin4:1.62.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/runix-pgadmin4
sealed-secrets/sealed-secrets,2.18.6,packages/sealed-secrets/sealed-secrets/2.18.6,packages/sealed-secrets/sealed-secrets/2.18.6/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/sealed-secrets-sealed-secrets:2.18.6,published-receipt,runs/installer-oci/sealed-secrets-sealed-secrets/2.18.6/installer-package-publication-receipt.yaml,a08f22c8743f84b212c686caf18c1d213662d30b2f1f99712b76887a243d9508,default,default;no-crds,2,packages/sealed-secrets/sealed-secrets/2.18.6/bases/default/upstream.yaml;packages/sealed-secrets/sealed-secrets/2.18.6/bases/no-crds/upstream.yaml,096c66f4ea312aa7c3a4fc2be815b64271c3f1c829c8914b5c96c190aa22a83e;8c271440bc9064522738add874400229e0dc0de35e39818aa29433f7d16c243c,0,no,0,yes,next80-proof-grade,site/charts/sealed-secrets-sealed-secrets-2-18-6.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/sealed-secrets-sealed-secrets:2.18.6 --base default --work-dir .tmp/demo/sealed-secrets-sealed-secrets-2-18-6-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/sealed-secrets-sealed-secrets:2.18.6,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/sealed-secrets-sealed-secrets
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,packages/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0,packages/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/secrets-store-csi-driver-secrets-store-csi-driver:1.6.0,published-receipt,runs/installer-oci/secrets-store-csi-driver-secrets-store-csi-driver/1.6.0/installer-package-publication-receipt.yaml,3ad024cf7279287f499854f611cb2d83d60bf6abc925848ca96d4bdb4f9768ed,default,default;sync-secret-rotation,2,packages/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/bases/default/upstream.yaml;packages/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/bases/sync-secret-rotation/upstream.yaml,2490f14dd08f7e309f8f78cd1c2f1b05eb5b8995343b33ad6b3b243401a39ead;3667c16d411f773ef20e51c9980d484eb770c1173092878f1b018f5b4377a182,0,no,1,yes,top20-catalog-supported,site/charts/secrets-store-csi-driver-secrets-store-csi-driver-1-6-0.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/secrets-store-csi-driver-secrets-store-csi-driver:1.6.0 --base default --work-dir .tmp/demo/secrets-store-csi-driver-secrets-store-csi-driver-1-6-0-default --non-interactive --namespace kube-system,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/secrets-store-csi-driver-secrets-store-csi-driver:1.6.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/secrets-store-csi-driver-secrets-store-csi-driver
stakater/reloader,2.2.12,packages/stakater/reloader/2.2.12,packages/stakater/reloader/2.2.12/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/stakater-reloader:2.2.12,published-receipt,runs/installer-oci/stakater-reloader/2.2.12/installer-package-publication-receipt.yaml,297319c4ea7e71667cd75127d176028807d144f20ccf5aca05c7ad85cac46a75,default,default;controller-default-reviewed,2,packages/stakater/reloader/2.2.12/bases/default/upstream.yaml;packages/stakater/reloader/2.2.12/bases/controller-default-reviewed/upstream.yaml,d73021c041d681424e89af4e6dde4e99ac3791b1622576649778f7314f979d9e;d73021c041d681424e89af4e6dde4e99ac3791b1622576649778f7314f979d9e,0,no,0,yes,next80-proof-grade,site/charts/stakater-reloader-2-2-12.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/stakater-reloader:2.2.12 --base default --work-dir .tmp/demo/stakater-reloader-2-2-12-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/stakater-reloader:2.2.12,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/stakater-reloader
