chart,base,rendered_secret_count,target_fact_secret_count,lifecycle_secret_count,user_secret_count,review_secret_count,overall_disposition,dispositions,roles,evidence,notes
bitnami/mysql@14.0.3,generated-passwords,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/bitnami/mysql/14.0.3/revisions/generated-passwords/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/nginx@24.0.2,existing-tls-ingress,0,2,0,2,0,staged,staged,user-credential-material,recipes/bitnami/nginx/24.0.2/variants/existing-tls-ingress/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/nginx@24.0.2,http-clusterip,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/nginx/24.0.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/opensearch@2.0.10,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/opensearch/2.0.10/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/opensearch@2.0.10,ha,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/opensearch/2.0.10/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/phpmyadmin@20.0.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/phpmyadmin/20.0.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/postgresql@18.6.7,existing-secret,0,1,0,1,0,staged,staged,user-credential-material,recipes/bitnami/postgresql/18.6.7/variants/existing-secret/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/postgresql@18.6.7,generated-passwords,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/bitnami/postgresql/18.6.7/revisions/generated-passwords/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/rabbitmq@16.0.14,existing-secret,1,2,0,3,0,delivered-and-staged,delivered;staged,user-credential-material,recipes/bitnami/rabbitmq/16.0.14/revisions/existing-secret/r001/rendered/release-objects.yaml;recipes/bitnami/rabbitmq/16.0.14/variants/existing-secret/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/rabbitmq@16.0.14,generated-passwords,2,0,0,2,0,delivered,delivered,user-credential-material,recipes/bitnami/rabbitmq/16.0.14/revisions/generated-passwords/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
