name,source_type,source_name,source_version,source_selection,source_selection_kind,source_selection_provider,base,status,object_count,base_digest_role,object_digest,object_digest_role,source_record,objects,source_intent_status,materialization_status,inspection_evidence_state,inspection_result_state,materialization_evidence_state,materialization_result_state,destination_evidence_state,destination_result_state,post_deployment_evidence_state,post_deployment_result_state,flattening_verdict,lifecycle_requirements_status,route_intent_status,route_resolution_status,field_ownership_status,package_oci_ref,literal_config_oci_status,release_oci_status,policy_profile,resource_class,owner_class,change_cadence,classification_source,live_space
haproxytech-kubernetes-ingress-1-52-0-default,helm,haproxytech/kubernetes-ingress,1.52.0,default,catalog-preset,Config Workshop,default,available,7,helm-variant-revision,d04b79ade525cfe276e761918d319794e8e662ef896ae3418a42e7c781ded544,canonical-object-set,data/helm-render-intents/intents/haproxytech-kubernetes-ingress-1-52-0-default.yaml,recipes/haproxytech/kubernetes-ingress/1.52.0/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/haproxytech-kubernetes-ingress:1.52.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
hashicorp-consul-2-0-0-default-control-plane,helm,hashicorp/consul,2.0.0,default-control-plane,catalog-preset,Config Workshop,default-control-plane,available,68,helm-variant-revision,7efa3e8b59c702c8b8fa744a0ff91198e09ad8ba0fb93a86b50c3fd9e39d29f7,canonical-object-set,data/helm-render-intents/intents/hashicorp-consul-2-0-0-default-control-plane.yaml,recipes/hashicorp/consul/2.0.0/revisions/default-control-plane/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-consul:2.0.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
hashicorp-consul-2-0-0-secure-mesh-existing-secrets,helm,hashicorp/consul,2.0.0,secure-mesh-existing-secrets,catalog-preset,Config Workshop,secure-mesh-existing-secrets,available,97,helm-variant-revision,0acc8c339c2965446b754c3a9c948c4f154ca6e47b074ddc3b8d315e2cb7c468,canonical-object-set,data/helm-render-intents/intents/hashicorp-consul-2-0-0-secure-mesh-existing-secrets.yaml,recipes/hashicorp/consul/2.0.0/revisions/secure-mesh-existing-secrets/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-consul:2.0.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
hashicorp-terraform-1-1-2-default,helm,hashicorp/terraform,1.1.2,default,catalog-preset,Config Workshop,default,available,5,helm-variant-revision,5cc2a190066cc639af6f8856b1ff8e28a40e61546d53cd04f19c5b14d6c37d3b,canonical-object-set,data/helm-render-intents/intents/hashicorp-terraform-1-1-2-default.yaml,recipes/hashicorp/terraform/1.1.2/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-terraform:1.1.2,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
hashicorp-terraform-1-1-2-no-crds,helm,hashicorp/terraform,1.1.2,no-crds,catalog-preset,Config Workshop,no-crds,available,0,helm-variant-revision,a8b9e5e6ce83d71e19d70e4695bdda1a2cb28c26e094a0f28b70b58a3fc6a50a,canonical-object-set,data/helm-render-intents/intents/hashicorp-terraform-1-1-2-no-crds.yaml,recipes/hashicorp/terraform/1.1.2/revisions/no-crds/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-terraform:1.1.2,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
hashicorp-vault-0-32-0-default,helm,hashicorp/vault,0.32.0,default,catalog-preset,Config Workshop,default,available,12,helm-variant-revision,6de2d61c8de0c21faa951e89ec16658bcdff22e69d78075fdd394d895a5e6978,canonical-object-set,data/helm-render-intents/intents/hashicorp-vault-0-32-0-default.yaml,recipes/hashicorp/vault/0.32.0/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,safe-to-flatten,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-vault:0.32.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
hashicorp-vault-0-32-0-dev-mode,helm,hashicorp/vault,0.32.0,dev-mode,catalog-preset,Config Workshop,dev-mode,available,11,helm-variant-revision,f07ae80c317a1156f1f6ae6dc849300de0ba4683eb3ffae67cdcfcd6e8072955,canonical-object-set,data/helm-render-intents/intents/hashicorp-vault-0-32-0-dev-mode.yaml,recipes/hashicorp/vault/0.32.0/revisions/dev-mode/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-vault:0.32.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
hashicorp-vault-0-32-0-ha-raft-ui,helm,hashicorp/vault,0.32.0,ha-raft-ui,catalog-preset,Config Workshop,ha-raft-ui,available,18,helm-variant-revision,734a212cbb2e8d11ed288d32bc8b709e859248ef5587090b04e0fa407b248b5f,canonical-object-set,data/helm-render-intents/intents/hashicorp-vault-0-32-0-ha-raft-ui.yaml,recipes/hashicorp/vault/0.32.0/revisions/ha-raft-ui/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/hashicorp-vault:0.32.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
ingress-nginx-ingress-nginx-4-15-1-admission-disabled,helm,ingress-nginx/ingress-nginx,4.15.1,admission-disabled,catalog-preset,Config Workshop,admission-disabled,available,9,helm-variant-revision,ad133758fa1985241f9dd1fe766f6ca9f17e199bf7562e37b3c2834a6588c25e,canonical-object-set,data/helm-render-intents/intents/ingress-nginx-ingress-nginx-4-15-1-admission-disabled.yaml,recipes/ingress-nginx/ingress-nginx/4.15.1/revisions/admission-disabled/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/ingress-nginx-ingress-nginx:4.15.1,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
ingress-nginx-ingress-nginx-4-15-1-default,helm,ingress-nginx/ingress-nginx,4.15.1,default,catalog-preset,Config Workshop,default,available,11,helm-variant-revision,257503d94cea6b1d59e1564805f03a59c5a2d8fdf2de2b340676df03c295a80d,canonical-object-set,data/helm-render-intents/intents/ingress-nginx-ingress-nginx-4-15-1-default.yaml,recipes/ingress-nginx/ingress-nginx/4.15.1/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,unsafe-to-flatten,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/ingress-nginx-ingress-nginx:4.15.1,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
