receipt,family,date_field,recorded,age_days
runs/live-helm-confighub-compare/bitnami-rabbitmq-existing-secret/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T09:22:33Z,75
runs/live-helm-confighub-compare/bitnami-redis-reuse-existing-secret/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T11:53:38Z,75
runs/live-helm-confighub-compare/elastic-logstash-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T19:48:44Z,75
runs/live-helm-confighub-compare/grafana-grafana-existing-secret-ingress/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T14:54:01Z,75
runs/live-helm-confighub-compare/grafana-loki-simple-scalable-minio/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T10:54:20Z,75
runs/live-helm-confighub-compare/hashicorp-vault-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T17:43:56Z,75
runs/live-helm-confighub-compare/ingress-nginx-ingress-nginx-admission-disabled/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T20:03:26Z,75
runs/live-helm-confighub-compare/ingress-nginx-ingress-nginx-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T20:28:18Z,75
runs/live-helm-confighub-compare/jetstack-cert-manager-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T07:10:36Z,75
runs/live-helm-confighub-compare/kedacore-keda-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-11T21:32:03Z,75
runs/live-helm-confighub-compare/longhorn-longhorn-ui-ingress/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T15:03:59Z,75
runs/live-helm-confighub-compare/metrics-server-metrics-server-external-tls-ca/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T16:02:09Z,75
runs/live-helm-confighub-compare/prometheus-community-prometheus-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T16:46:41Z,75
runs/live-helm-confighub-compare/secrets-store-csi-driver-secrets-store-csi-driver-sync-secret-rotation/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T08:06:36Z,75
runs/live-kind-parity/aqua-trivy-operator-no-crds/receipt.yaml,live-kind-parity,observedAt,2026-06-12T04:48:25Z,75
runs/live-kind-parity/autoscaler-vertical-pod-autoscaler-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T04:31:36Z,75
runs/live-kind-parity/autoscaler-vertical-pod-autoscaler-no-crds/receipt.yaml,live-kind-parity,observedAt,2026-06-12T04:30:00Z,75
runs/live-kind-parity/descheduler-descheduler-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T04:59:56Z,75
runs/live-kind-parity/gatekeeper-gatekeeper-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T01:29:41Z,75
runs/live-kind-parity/jetstack-cert-manager-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T05:06:32Z,75
runs/live-kind-parity/open-telemetry-opentelemetry-operator-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T04:45:34Z,75
runs/live-kind-parity/open-telemetry-opentelemetry-operator-no-crds/receipt.yaml,live-kind-parity,observedAt,2026-06-12T04:13:10Z,75
runs/live-kind-parity/percona-pg-operator-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T02:05:49Z,75
runs/live-kind-parity/percona-psmdb-operator-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T01:50:48Z,75
runs/live-kind-parity/percona-pxc-operator-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T01:58:06Z,75
runs/live-kind-parity/prometheus-community-kube-state-metrics-cluster-metrics-readonly/receipt.yaml,live-kind-parity,observedAt,2026-06-12T01:16:41Z,75
runs/live-kind-parity/prometheus-community-prometheus-blackbox-exporter-cluster-metrics-readonly/receipt.yaml,live-kind-parity,observedAt,2026-06-12T01:23:06Z,75
runs/live-kind-parity/prometheus-community-prometheus-node-exporter-cluster-metrics-readonly/receipt.yaml,live-kind-parity,observedAt,2026-06-12T01:05:38Z,75
runs/live-kind-parity/sealed-secrets-sealed-secrets-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T02:13:31Z,75
runs/live-kind-parity/strimzi-strimzi-kafka-operator-default/receipt.yaml,live-kind-parity,observedAt,2026-06-12T01:41:32Z,75
runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-controller-default-reviewed/observation-receipt.yaml,next80-local-kind,observedAt,2026-06-12T17:00:47.431Z,75
runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-default/observation-receipt.yaml,next80-local-kind,observedAt,2026-06-12T16:58:31.407Z,75
runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-minimal-crds/observation-receipt.yaml,next80-local-kind,observedAt,2026-06-12T16:51:15.443Z,75
runs/next80-local-kind/prometheus-community-prometheus-node-exporter-4.55.0-cluster-metrics-readonly/observation-receipt.yaml,next80-local-kind,observedAt,2026-06-12T00:59:32.377Z,75
runs/live-helm-confighub-compare/aqua-trivy-operator-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T21:58:12Z,74
runs/live-helm-confighub-compare/aqua-trivy-operator-no-crds/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T00:53:51Z,74
runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T04:48:25Z,74
runs/live-helm-confighub-compare/argo-cd-argo-events-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T06:58:21Z,74
runs/live-helm-confighub-compare/argo-cd-argo-events-no-crds/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T08:37:22Z,74
runs/live-helm-confighub-compare/argo-cd-argo-rollouts-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T07:06:46Z,74
runs/live-helm-confighub-compare/argo-cd-argo-rollouts-no-crds/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T07:19:54Z,74
runs/live-helm-confighub-compare/argo-cd-argo-workflows-minimal-crds/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T06:42:50Z,74
runs/live-helm-confighub-compare/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T11:54:39Z,74
runs/live-helm-confighub-compare/cloudnative-pg-cloudnative-pg-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T23:31:42Z,74
runs/live-helm-confighub-compare/crossplane-stable-crossplane-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T09:14:33Z,74
runs/live-helm-confighub-compare/descheduler-descheduler-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-13T10:04:22Z,74
runs/live-helm-confighub-compare/elastic-eck-operator-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-12T23:39:18Z,74
