chart,current_variant_count,current_variants,applicable_dimensions,recommend_to_build,to_build_count,recipe_path
istio/gateway@1.30.0,1,default,,none,0,recipes/istio/gateway/1.30.0
istio/istiod@1.30.0,1,default,existing-secret,existing-secret,1,recipes/istio/istiod/1.30.0
jaegertracing/jaeger-operator@2.57.0,1,default,no-crds,no-crds,1,recipes/jaegertracing/jaeger-operator/2.57.0
jaegertracing/jaeger@4.8.0,1,default,existing-secret,existing-secret,1,recipes/jaegertracing/jaeger/4.8.0
jetstack/cert-manager-csi-driver@v0.14.0,1,default,,none,0,recipes/jetstack/cert-manager-csi-driver/v0.14.0
jetstack/cert-manager@v1.20.2,2,default;crds-enabled,no-crds,none,0,recipes/jetstack/cert-manager/v1.20.2
jetstack/trust-manager@v0.22.1,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/jetstack/trust-manager/v0.22.1
kedacore/keda@2.19.0,1,default,no-crds,no-crds,1,recipes/kedacore/keda/2.19.0
kyverno/kyverno-policies@3.8.0,1,default,,none,0,recipes/kyverno/kyverno-policies/3.8.0
kyverno/kyverno@3.8.1,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/kyverno/kyverno/3.8.1
linkerd/linkerd-crds@1.8.0,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/linkerd/linkerd-crds/1.8.0
longhorn/longhorn@1.11.2,2,default;ui-ingress,no-crds;ha;ingress-tls,no-crds;ha,2,recipes/longhorn/longhorn/1.11.2
metrics-server/metrics-server@3.13.0,2,default;external-tls-ca,existing-secret,existing-secret,1,recipes/metrics-server/metrics-server/3.13.0
minio-operator/operator@7.1.1,1,default,no-crds,no-crds,1,recipes/minio-operator/operator/7.1.1
minio-operator/tenant@7.1.1,1,default,existing-secret,existing-secret,1,recipes/minio-operator/tenant/7.1.1
nats/nack@0.34.0,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/nats/nack/0.34.0
nats/nats@2.14.0,1,default,existing-secret;ha,existing-secret;ha,2,recipes/nats/nats/2.14.0
nats/surveyor@0.20.9,1,default,,none,0,recipes/nats/surveyor/0.20.9
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,1,default,,none,0,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18
open-telemetry/opentelemetry-operator@0.114.0,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/open-telemetry/opentelemetry-operator/0.114.0
opencost/opencost@2.5.21,1,default,,none,0,recipes/opencost/opencost/2.5.21
percona/pg-operator@3.0.0,1,default,no-crds,no-crds,1,recipes/percona/pg-operator/3.0.0
percona/psmdb-operator@1.22.0,1,default,no-crds,no-crds,1,recipes/percona/psmdb-operator/1.22.0
percona/pxc-operator@1.19.1,1,default,no-crds,no-crds,1,recipes/percona/pxc-operator/1.19.1
projectcalico/tigera-operator@v3.32.0,1,default,,none,0,recipes/projectcalico/tigera-operator/v3.32.0
prometheus-community/alertmanager@1.37.0,1,default,ha,ha,1,recipes/prometheus-community/alertmanager/1.37.0
prometheus-community/kube-prometheus-stack@85.3.3,2,default;no-crds,existing-secret;no-crds,existing-secret,1,recipes/prometheus-community/kube-prometheus-stack/85.3.3
prometheus-community/kube-state-metrics@7.4.0,1,default,existing-secret,existing-secret,1,recipes/prometheus-community/kube-state-metrics/7.4.0
prometheus-community/prometheus-adapter@5.3.0,1,default,,none,0,recipes/prometheus-community/prometheus-adapter/5.3.0
prometheus-community/prometheus-blackbox-exporter@11.10.0,1,default,,none,0,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0
prometheus-community/prometheus-node-exporter@4.55.0,1,default,existing-secret,existing-secret,1,recipes/prometheus-community/prometheus-node-exporter/4.55.0
prometheus-community/prometheus-operator-crds@29.0.0,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/prometheus-community/prometheus-operator-crds/29.0.0
prometheus-community/prometheus-pushgateway@3.6.0,1,default,,none,0,recipes/prometheus-community/prometheus-pushgateway/3.6.0
prometheus-community/prometheus@29.8.0,2,default;server-only-ephemeral,ha;minimal,ha,1,recipes/prometheus-community/prometheus/29.8.0
rook-release/rook-ceph-cluster@v1.19.5,1,default,existing-secret,existing-secret,1,recipes/rook-release/rook-ceph-cluster/v1.19.5
rook-release/rook-ceph@v1.19.5,1,default,no-crds,no-crds,1,recipes/rook-release/rook-ceph/v1.19.5
runix/pgadmin4@1.62.0,1,default,existing-secret;ha,existing-secret;ha,2,recipes/runix/pgadmin4/1.62.0
sealed-secrets/sealed-secrets@2.18.6,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/sealed-secrets/sealed-secrets/2.18.6
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,2,default;sync-secret-rotation,existing-secret;no-crds;rotation,no-crds,1,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0
stakater/reloader@2.2.12,1,default,,none,0,recipes/stakater/reloader/2.2.12
strimzi/strimzi-kafka-operator@1.0.0,1,default,no-crds,no-crds,1,recipes/strimzi/strimzi-kafka-operator/1.0.0
traefik/traefik@40.2.0,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/traefik/traefik/40.2.0
velero/velero@12.0.1,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/velero/velero/12.0.1
vm/victoria-logs-single@0.12.5,1,default,existing-secret;ha,existing-secret;ha,2,recipes/vm/victoria-logs-single/0.12.5
vm/victoria-metrics-single@0.39.0,1,default,ha,ha,1,recipes/vm/victoria-metrics-single/0.39.0
