chart,category,class,confighub_home
argo-cd/argo-workflows@1.0.14,tpl-extension-slots,sme,extension-slot
argo-cd/argocd-image-updater@1.2.2,tpl-extension-slots,sme,extension-slot
autoscaler/cluster-autoscaler@9.57.0,tpl-extension-slots,sme,extension-slot
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,tpl-extension-slots,sme,extension-slot
bitnami/apache@11.4.29,tpl-extension-slots,sme,extension-slot
bitnami/contour@21.1.4,tpl-extension-slots,sme,extension-slot
bitnami/elasticsearch@22.1.6,tpl-extension-slots,sme,extension-slot
bitnami/memcached@8.5.5,tpl-extension-slots,sme,extension-slot
bitnami/opensearch@2.0.10,tpl-extension-slots,sme,extension-slot
bitnami/phpmyadmin@20.0.0,tpl-extension-slots,sme,extension-slot
bitnami/spark@10.0.3,tpl-extension-slots,sme,extension-slot
bitnami/zookeeper@13.8.7,tpl-extension-slots,sme,extension-slot
cloudnative-pg/cloudnative-pg@0.28.2,tpl-extension-slots,sme,extension-slot
coredns/coredns@1.45.2,tpl-extension-slots,sme,extension-slot
crossplane-stable/crossplane@2.3.1,tpl-extension-slots,sme,extension-slot
descheduler/descheduler@0.36.0,tpl-extension-slots,sme,extension-slot
dex/dex@0.24.0,tpl-extension-slots,sme,extension-slot
elastic/eck-operator@3.4.0,tpl-extension-slots,sme,extension-slot
elastic/filebeat@8.5.1,tpl-extension-slots,sme,extension-slot
elastic/kibana@8.5.1,tpl-extension-slots,sme,extension-slot
elastic/logstash@8.5.1,tpl-extension-slots,sme,extension-slot
elastic/metricbeat@8.5.1,tpl-extension-slots,sme,extension-slot
external-dns/external-dns@1.21.1,tpl-extension-slots,sme,extension-slot
fairwinds-stable/goldilocks@10.3.0,tpl-extension-slots,sme,extension-slot
fairwinds-stable/vpa@4.11.0,tpl-extension-slots,sme,extension-slot
falcosecurity/falco@9.0.0,tpl-extension-slots,sme,extension-slot
fluent/fluent-bit@0.57.6,tpl-extension-slots,sme,extension-slot
fluent/fluentd@0.5.3,tpl-extension-slots,sme,extension-slot
gitlab/gitlab-runner@0.89.0,tpl-extension-slots,sme,extension-slot
grafana/alloy@1.8.2,tpl-extension-slots,sme,extension-slot
grafana/promtail@6.17.1,tpl-extension-slots,sme,extension-slot
grafana/pyroscope@2.0.2,tpl-extension-slots,sme,extension-slot
haproxytech/kubernetes-ingress@1.52.0,tpl-extension-slots,sme,extension-slot
istio/istiod@1.30.0,tpl-extension-slots,sme,extension-slot
jaegertracing/jaeger@4.8.0,tpl-extension-slots,sme,extension-slot
jetstack/trust-manager@v0.22.1,tpl-extension-slots,sme,extension-slot
kedacore/keda@2.19.0,tpl-extension-slots,sme,extension-slot
kyverno/kyverno-policies@3.8.0,tpl-extension-slots,sme,extension-slot
kyverno/kyverno@3.8.1,tpl-extension-slots,sme,extension-slot
minio-operator/tenant@7.1.1,tpl-extension-slots,sme,extension-slot
nats/nack@0.34.0,tpl-extension-slots,sme,extension-slot
nats/nats@2.14.0,tpl-extension-slots,sme,extension-slot
open-telemetry/opentelemetry-operator@0.114.0,tpl-extension-slots,sme,extension-slot
opencost/opencost@2.5.21,tpl-extension-slots,sme,extension-slot
prometheus-community/alertmanager@1.37.0,tpl-extension-slots,sme,extension-slot
prometheus-community/kube-state-metrics@7.4.0,tpl-extension-slots,sme,extension-slot
prometheus-community/prometheus-adapter@5.3.0,tpl-extension-slots,sme,extension-slot
prometheus-community/prometheus-blackbox-exporter@11.10.0,tpl-extension-slots,sme,extension-slot
prometheus-community/prometheus-node-exporter@4.55.0,tpl-extension-slots,sme,extension-slot
prometheus-community/prometheus-pushgateway@3.6.0,tpl-extension-slots,sme,extension-slot
rook-release/rook-ceph-cluster@v1.19.5,tpl-extension-slots,sme,extension-slot
runix/pgadmin4@1.62.0,tpl-extension-slots,sme,extension-slot
sealed-secrets/sealed-secrets@2.18.6,tpl-extension-slots,sme,extension-slot
stakater/reloader@2.2.12,tpl-extension-slots,sme,extension-slot
strimzi/strimzi-kafka-operator@1.0.0,tpl-extension-slots,sme,extension-slot
traefik/traefik@40.2.0,tpl-extension-slots,sme,extension-slot
velero/velero@12.0.1,tpl-extension-slots,sme,extension-slot
vm/victoria-logs-single@0.12.5,tpl-extension-slots,sme,extension-slot
vm/victoria-metrics-single@0.39.0,tpl-extension-slots,sme,extension-slot
kedacore/keda@2.19.0,apiservice,standard,scan-gate
metrics-server/metrics-server@3.13.0,apiservice,standard,scan-gate
prometheus-community/prometheus-adapter@5.3.0,apiservice,standard,scan-gate
prometheus-community/prometheus@29.8.0,component-selection,standard,recipe
argo-cd/argo-cd@9.5.15,crd-policy,standard,recipe
external-secrets/external-secrets@2.5.0,crd-policy,standard,recipe
jetstack/cert-manager@v1.20.2,crd-policy,standard,recipe
longhorn/longhorn@1.11.2,crd-policy,standard,recipe
prometheus-community/kube-prometheus-stack@85.3.3,crd-policy,standard,recipe
aqua/trivy-operator@0.32.1,crds,standard,recipe
argo-cd/argo-events@2.4.21,crds,standard,recipe
argo-cd/argo-rollouts@2.40.9,crds,standard,recipe
argo-cd/argocd-image-updater@1.2.2,crds,standard,recipe
autoscaler/vertical-pod-autoscaler@0.9.0,crds,standard,recipe
bitnami/contour@21.1.4,crds,standard,recipe
cloudnative-pg/cloudnative-pg@0.28.2,crds,standard,recipe
elastic/eck-operator@3.4.0,crds,standard,recipe
external-dns/external-dns@1.21.1,crds,standard,recipe
fairwinds-stable/vpa@4.11.0,crds,standard,recipe
gatekeeper/gatekeeper@3.22.2,crds,standard,recipe
grafana/alloy@1.8.2,crds,standard,recipe
grafana/pyroscope@2.0.2,crds,standard,recipe
grafana/rollout-operator@0.49.0,crds,standard,recipe
hashicorp/terraform@1.1.2,crds,standard,recipe
jaegertracing/jaeger-operator@2.57.0,crds,standard,recipe
jetstack/trust-manager@v0.22.1,crds,standard,recipe
kedacore/keda@2.19.0,crds,standard,recipe
kyverno/kyverno@3.8.1,crds,standard,recipe
linkerd/linkerd-crds@1.8.0,crds,standard,recipe
minio-operator/operator@7.1.1,crds,standard,recipe
nats/nack@0.34.0,crds,standard,recipe
open-telemetry/opentelemetry-operator@0.114.0,crds,standard,recipe
percona/pg-operator@3.0.0,crds,standard,recipe
percona/psmdb-operator@1.22.0,crds,standard,recipe
percona/pxc-operator@1.19.1,crds,standard,recipe
