recipe,repository,chart,version,status,detail,witness
recipes/minio-operator/tenant/7.1.1,minio-operator,tenant,7.1.1,scanned,,data/flattening-safety/witnesses/minio-operator-tenant-7.1.1.yaml
recipes/nats/nack/0.34.0,nats,nack,0.34.0,scanned,,data/flattening-safety/witnesses/nats-nack-0.34.0.yaml
recipes/nats/nats/2.14.0,nats,nats,2.14.0,scanned,,data/flattening-safety/witnesses/nats-nats-2.14.0.yaml
recipes/nats/surveyor/0.20.9,nats,surveyor,0.20.9,scanned,,data/flattening-safety/witnesses/nats-surveyor-0.20.9.yaml
recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,nfs-subdir-external-provisioner,nfs-subdir-external-provisioner,4.0.18,scanned,,data/flattening-safety/witnesses/nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-4.0.18.yaml
recipes/nvidia/nvidia-device-plugin/0.19.3,nvidia,nvidia-device-plugin,0.19.3,current,witness already matches the locked hash,data/flattening-safety/witnesses/nvidia-nvidia-device-plugin-0.19.3.yaml
recipes/oauth2-proxy/oauth2-proxy/10.7.0,oauth2-proxy,oauth2-proxy,10.7.0,scanned,,data/flattening-safety/witnesses/oauth2-proxy-oauth2-proxy-10.7.0.yaml
recipes/open-telemetry/opentelemetry-operator/0.114.0,open-telemetry,opentelemetry-operator,0.114.0,scanned,,data/flattening-safety/witnesses/open-telemetry-opentelemetry-operator-0.114.0.yaml
recipes/opencost/opencost/2.5.21,opencost,opencost,2.5.21,scanned,,data/flattening-safety/witnesses/opencost-opencost-2.5.21.yaml
recipes/percona/pg-operator/3.0.0,percona,pg-operator,3.0.0,scanned,,data/flattening-safety/witnesses/percona-pg-operator-3.0.0.yaml
recipes/percona/psmdb-operator/1.22.0,percona,psmdb-operator,1.22.0,scanned,,data/flattening-safety/witnesses/percona-psmdb-operator-1.22.0.yaml
recipes/percona/pxc-operator/1.19.1,percona,pxc-operator,1.19.1,scanned,,data/flattening-safety/witnesses/percona-pxc-operator-1.19.1.yaml
recipes/policy-reporter/policy-reporter/3.9.1,policy-reporter,policy-reporter,3.9.1,scanned,,data/flattening-safety/witnesses/policy-reporter-policy-reporter-3.9.1.yaml
recipes/projectcalico/tigera-operator/v3.32.0,projectcalico,tigera-operator,v3.32.0,scanned,,data/flattening-safety/witnesses/projectcalico-tigera-operator-v3.32.0.yaml
recipes/prometheus-community/alertmanager/1.37.0,prometheus-community,alertmanager,1.37.0,scanned,,data/flattening-safety/witnesses/prometheus-community-alertmanager-1.37.0.yaml
recipes/prometheus-community/kube-prometheus-stack/85.3.3,prometheus-community,kube-prometheus-stack,85.3.3,scanned,,data/flattening-safety/witnesses/prometheus-community-kube-prometheus-stack-85.3.3.yaml
recipes/prometheus-community/kube-prometheus-stack/86.1.0,prometheus-community,kube-prometheus-stack,86.1.0,scanned,,data/flattening-safety/witnesses/prometheus-community-kube-prometheus-stack-86.1.0.yaml
recipes/prometheus-community/kube-prometheus-stack/87.15.1,prometheus-community,kube-prometheus-stack,87.15.1,scanned,,data/flattening-safety/witnesses/prometheus-community-kube-prometheus-stack-87.15.1.yaml
recipes/prometheus-community/kube-prometheus-stack/87.19.2,prometheus-community,kube-prometheus-stack,87.19.2,current,witness already matches the locked hash,data/flattening-safety/witnesses/prometheus-community-kube-prometheus-stack-87.19.2.yaml
recipes/prometheus-community/kube-state-metrics/7.4.0,prometheus-community,kube-state-metrics,7.4.0,scanned,,data/flattening-safety/witnesses/prometheus-community-kube-state-metrics-7.4.0.yaml
recipes/prometheus-community/prometheus-adapter/5.3.0,prometheus-community,prometheus-adapter,5.3.0,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-adapter-5.3.0.yaml
recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0,prometheus-community,prometheus-blackbox-exporter,11.10.0,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-blackbox-exporter-11.10.0.yaml
recipes/prometheus-community/prometheus-blackbox-exporter/11.15.1,prometheus-community,prometheus-blackbox-exporter,11.15.1,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-blackbox-exporter-11.15.1.yaml
recipes/prometheus-community/prometheus-node-exporter/4.55.0,prometheus-community,prometheus-node-exporter,4.55.0,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-node-exporter-4.55.0.yaml
recipes/prometheus-community/prometheus-operator-crds/29.0.0,prometheus-community,prometheus-operator-crds,29.0.0,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-operator-crds-29.0.0.yaml
recipes/prometheus-community/prometheus-pushgateway/3.6.0,prometheus-community,prometheus-pushgateway,3.6.0,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-pushgateway-3.6.0.yaml
recipes/prometheus-community/prometheus/29.8.0,prometheus-community,prometheus,29.8.0,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-29.8.0.yaml
recipes/prometheus-community/prometheus/29.9.0,prometheus-community,prometheus,29.9.0,scanned,,data/flattening-safety/witnesses/prometheus-community-prometheus-29.9.0.yaml
recipes/rook-release/rook-ceph-cluster/v1.19.5,rook-release,rook-ceph-cluster,v1.19.5,scanned,,data/flattening-safety/witnesses/rook-release-rook-ceph-cluster-v1.19.5.yaml
recipes/rook-release/rook-ceph/v1.19.5,rook-release,rook-ceph,v1.19.5,scanned,,data/flattening-safety/witnesses/rook-release-rook-ceph-v1.19.5.yaml
recipes/runix/pgadmin4/1.62.0,runix,pgadmin4,1.62.0,scanned,,data/flattening-safety/witnesses/runix-pgadmin4-1.62.0.yaml
recipes/sealed-secrets/sealed-secrets/2.18.6,sealed-secrets,sealed-secrets,2.18.6,unavailable,"Error: looks like ""https://bitnami-labs.github.io/sealed-secrets"" is not a valid chart repository or cannot be reached: failed to fetch https://bitnami-labs.github.io/sealed-secret",
recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0,secrets-store-csi-driver,secrets-store-csi-driver,1.6.0,scanned,,data/flattening-safety/witnesses/secrets-store-csi-driver-secrets-store-csi-driver-1.6.0.yaml
recipes/stakater/reloader/2.2.12,stakater,reloader,2.2.12,scanned,,data/flattening-safety/witnesses/stakater-reloader-2.2.12.yaml
recipes/stakater/reloader/2.2.14,stakater,reloader,2.2.14,scanned,,data/flattening-safety/witnesses/stakater-reloader-2.2.14.yaml
recipes/strimzi/strimzi-kafka-operator/1.0.0,strimzi,strimzi-kafka-operator,1.0.0,scanned,,data/flattening-safety/witnesses/strimzi-strimzi-kafka-operator-1.0.0.yaml
recipes/traefik/traefik/40.2.0,traefik,traefik,40.2.0,scanned,,data/flattening-safety/witnesses/traefik-traefik-40.2.0.yaml
recipes/traefik/traefik/41.0.2,traefik,traefik,41.0.2,current,witness already matches the locked hash,data/flattening-safety/witnesses/traefik-traefik-41.0.2.yaml
recipes/velero/velero/12.0.1,velero,velero,12.0.1,scanned,,data/flattening-safety/witnesses/velero-velero-12.0.1.yaml
recipes/velero/velero/12.1.0,velero,velero,12.1.0,scanned,,data/flattening-safety/witnesses/velero-velero-12.1.0.yaml
recipes/vm/victoria-logs-single/0.12.5,vm,victoria-logs-single,0.12.5,scanned,,data/flattening-safety/witnesses/vm-victoria-logs-single-0.12.5.yaml
recipes/vm/victoria-metrics-single/0.39.0,vm,victoria-metrics-single,0.39.0,scanned,,data/flattening-safety/witnesses/vm-victoria-metrics-single-0.39.0.yaml
