repo,chart,version,base,lane,hooks,lookup,keep,webhooks,generated_secrets,crd_evidence,verdict
elastic,eck-operator,3.4.0,no-crds,flatten-with-routes,absent,absent,present-gated,present,absent,present-gated,recipes/elastic/eck-operator/3.4.0/publication/flattening-safety-verdict-no-crds.yaml
elastic,filebeat,8.5.1,node-or-cluster-collector,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/elastic/filebeat/8.5.1/publication/flattening-safety-verdict-node-or-cluster-collector.yaml
elastic,kibana,8.5.1,default,unsafe-to-flatten,present,absent,absent,absent,absent,absent,recipes/elastic/kibana/8.5.1/publication/flattening-safety-verdict.yaml
elastic,logstash,8.5.1,ha,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/elastic/logstash/8.5.1/publication/flattening-safety-verdict-ha.yaml
external-dns,external-dns,1.21.1,dry-run-txt-registry,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/external-dns/external-dns/1.21.1/publication/flattening-safety-verdict-dry-run-txt-registry.yaml
external-dns,external-dns,1.21.1,no-crds,safe-to-flatten,absent,absent,absent,absent,absent,present-gated,recipes/external-dns/external-dns/1.21.1/publication/flattening-safety-verdict-no-crds.yaml
external-secrets,external-secrets,2.5.0,no-crds,flatten-with-routes,absent,absent,absent,present,absent,present-gated,recipes/external-secrets/external-secrets/2.5.0/publication/flattening-safety-verdict-no-crds.yaml
external-secrets,external-secrets,2.7.0,default,flatten-with-routes,absent,absent,absent,present,absent,present,recipes/external-secrets/external-secrets/2.7.0/publication/flattening-safety-verdict.yaml
external-secrets,external-secrets,2.7.0,no-crds,flatten-with-routes,absent,absent,absent,present,absent,present-gated,recipes/external-secrets/external-secrets/2.7.0/publication/flattening-safety-verdict-no-crds.yaml
external-secrets,external-secrets,2.8.0,no-crds,flatten-with-routes,absent,absent,absent,present,absent,present-gated,recipes/external-secrets/external-secrets/2.8.0/publication/flattening-safety-verdict-no-crds.yaml
falcosecurity,falco,9.0.0,default,unsafe-to-flatten,present,present,absent,absent,absent,absent,recipes/falcosecurity/falco/9.0.0/publication/flattening-safety-verdict.yaml
falcosecurity,falcosidekick,0.13.1,default,unsafe-to-flatten,present,absent,absent,absent,present,absent,recipes/falcosecurity/falcosidekick/0.13.1/publication/flattening-safety-verdict.yaml
fluent,fluentd,0.5.3,default,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/fluent/fluentd/0.5.3/publication/flattening-safety-verdict.yaml
