repo,chart,version,base,lane,hooks,lookup,keep,webhooks,generated_secrets,crd_evidence,verdict
aws-controllers-k8s,eks-chart,1.16.3,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/aws-controllers-k8s/eks-chart/1.16.3/publication/flattening-safety-verdict-default.yaml
karpenter,karpenter,1.14.0,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/karpenter/karpenter/1.14.0/publication/flattening-safety-verdict-default.yaml
nvidia,nvidia-device-plugin,0.19.3,default,safe-to-flatten,present-gated,absent,absent,absent,absent,present-gated,recipes/nvidia/nvidia-device-plugin/0.19.3/publication/flattening-safety-verdict-default.yaml
karpenter,karpenter,1.14.0,crds-managed,safe-to-flatten,absent,absent,absent,absent,absent,present-gated,recipes/karpenter/karpenter/1.14.0/publication/flattening-safety-verdict-crds-managed.yaml
nvidia,nvidia-device-plugin,0.19.3,nfd-enabled,flatten-with-routes,present,absent,absent,absent,absent,present,recipes/nvidia/nvidia-device-plugin/0.19.3/publication/flattening-safety-verdict-nfd-enabled.yaml
bitnami,redis,27.0.0,default,unsafe-to-flatten,absent,present,absent,absent,present,absent,recipes/bitnami/redis/27.0.0/publication/flattening-safety-verdict.yaml
argo-cd,argo-cd,9.5.15,default,flatten-with-routes,present,absent,present,absent,absent,present,recipes/argo-cd/argo-cd/9.5.15/publication/flattening-safety-verdict.yaml
grafana,grafana,10.5.15,default,unsafe-to-flatten,present,present,absent,absent,present,absent,recipes/grafana/grafana/10.5.15/publication/flattening-safety-verdict.yaml
grafana,loki,7.0.0,default,flatten-with-routes,present,present,absent,present,present,present,recipes/grafana/loki/7.0.0/publication/flattening-safety-verdict.yaml
grafana,tempo,1.24.4,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/grafana/tempo/1.24.4/publication/flattening-safety-verdict.yaml
hashicorp,consul,2.0.0,default,unsafe-to-flatten,present,absent,present,present,absent,present,recipes/hashicorp/consul/2.0.0/publication/flattening-safety-verdict.yaml
hashicorp,vault,0.32.0,default,safe-to-flatten,present,absent,absent,present,absent,absent,recipes/hashicorp/vault/0.32.0/publication/flattening-safety-verdict.yaml
ingress-nginx,ingress-nginx,4.15.1,default,unsafe-to-flatten,present,absent,absent,present,absent,absent,recipes/ingress-nginx/ingress-nginx/4.15.1/publication/flattening-safety-verdict.yaml
jetstack,cert-manager,v1.20.2,default,flatten-with-routes,present,absent,present,present,absent,present,recipes/jetstack/cert-manager/v1.20.2/publication/flattening-safety-verdict.yaml
longhorn,longhorn,1.11.2,default,unsafe-to-flatten,present,present,absent,absent,absent,present,recipes/longhorn/longhorn/1.11.2/publication/flattening-safety-verdict.yaml
metrics-server,metrics-server,3.13.0,default,safe-to-flatten,absent,present-gated,absent,absent,present-gated,absent,recipes/metrics-server/metrics-server/3.13.0/publication/flattening-safety-verdict.yaml
prometheus-community,kube-prometheus-stack,85.3.3,default,unsafe-to-flatten,present,present,absent,present,present,present,recipes/prometheus-community/kube-prometheus-stack/85.3.3/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus,29.8.0,default,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus/29.8.0/publication/flattening-safety-verdict.yaml
secrets-store-csi-driver,secrets-store-csi-driver,1.6.0,default,flatten-with-routes,present,absent,present,absent,absent,present,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/publication/flattening-safety-verdict.yaml
bitnami,mongodb,19.0.7,default,unsafe-to-flatten,absent,present,present,absent,present,absent,recipes/bitnami/mongodb/19.0.7/publication/flattening-safety-verdict.yaml
bitnami,mysql,14.0.3,default,unsafe-to-flatten,absent,present,absent,absent,present,absent,recipes/bitnami/mysql/14.0.3/publication/flattening-safety-verdict.yaml
bitnami,nginx,24.0.2,default,unsafe-to-flatten,absent,present-gated,absent,absent,present,absent,recipes/bitnami/nginx/24.0.2/publication/flattening-safety-verdict.yaml
bitnami,postgresql,18.6.7,default,unsafe-to-flatten,absent,present,present,absent,present,absent,recipes/bitnami/postgresql/18.6.7/publication/flattening-safety-verdict.yaml
bitnami,rabbitmq,16.0.14,default,unsafe-to-flatten,absent,present,absent,absent,present,absent,recipes/bitnami/rabbitmq/16.0.14/publication/flattening-safety-verdict.yaml
bitnami,redis,25.5.3,default,unsafe-to-flatten,absent,present,absent,absent,present,absent,recipes/bitnami/redis/25.5.3/publication/flattening-safety-verdict.yaml
external-secrets,external-secrets,2.5.0,default,flatten-with-routes,absent,absent,absent,present,absent,present,recipes/external-secrets/external-secrets/2.5.0/publication/flattening-safety-verdict.yaml
gatekeeper,gatekeeper,3.22.2,default,flatten-with-routes,present,absent,absent,present,absent,present,recipes/gatekeeper/gatekeeper/3.22.2/publication/flattening-safety-verdict.yaml
fluent,fluent-bit,0.57.6,default,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/fluent/fluent-bit/0.57.6/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus-blackbox-exporter,11.15.1,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-blackbox-exporter/11.15.1/publication/flattening-safety-verdict.yaml
projectcalico,tigera-operator,v3.32.0,default,flatten-with-routes,present,present-gated,absent,absent,absent,absent,recipes/projectcalico/tigera-operator/v3.32.0/publication/flattening-safety-verdict.yaml
autoscaler,cluster-autoscaler,9.57.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/autoscaler/cluster-autoscaler/9.57.0/publication/flattening-safety-verdict.yaml
coredns,coredns,1.45.2,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/coredns/coredns/1.45.2/publication/flattening-safety-verdict.yaml
crossplane-stable,crossplane,2.3.1,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/crossplane-stable/crossplane/2.3.1/publication/flattening-safety-verdict.yaml
descheduler,descheduler,0.36.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/descheduler/descheduler/0.36.0/publication/flattening-safety-verdict.yaml
elastic,filebeat,8.5.1,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/elastic/filebeat/8.5.1/publication/flattening-safety-verdict.yaml
elastic,logstash,8.5.1,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/elastic/logstash/8.5.1/publication/flattening-safety-verdict.yaml
elastic,metricbeat,8.5.1,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/elastic/metricbeat/8.5.1/publication/flattening-safety-verdict.yaml
gitlab,gitlab-runner,0.89.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/gitlab/gitlab-runner/0.89.0/publication/flattening-safety-verdict.yaml
istio,gateway,1.30.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/istio/gateway/1.30.0/publication/flattening-safety-verdict.yaml
jetstack,cert-manager-csi-driver,v0.14.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/jetstack/cert-manager-csi-driver/v0.14.0/publication/flattening-safety-verdict.yaml
nats,surveyor,0.20.9,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/nats/surveyor/0.20.9/publication/flattening-safety-verdict.yaml
nfs-subdir-external-provisioner,nfs-subdir-external-provisioner,4.0.18,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/publication/flattening-safety-verdict.yaml
opencost,opencost,2.5.21,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/opencost/opencost/2.5.21/publication/flattening-safety-verdict.yaml
prometheus-community,kube-state-metrics,7.4.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/kube-state-metrics/7.4.0/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus-adapter,5.3.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-adapter/5.3.0/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus-blackbox-exporter,11.10.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus-node-exporter,4.55.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-node-exporter/4.55.0/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus-pushgateway,3.6.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/prometheus-community/prometheus-pushgateway/3.6.0/publication/flattening-safety-verdict.yaml
stakater,reloader,2.2.12,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/stakater/reloader/2.2.12/publication/flattening-safety-verdict.yaml
stakater,reloader,2.2.14,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/stakater/reloader/2.2.14/publication/flattening-safety-verdict.yaml
vm,victoria-metrics-single,0.39.0,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/vm/victoria-metrics-single/0.39.0/publication/flattening-safety-verdict.yaml
rook-release,rook-ceph-cluster,v1.19.5,default,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/rook-release/rook-ceph-cluster/v1.19.5/publication/flattening-safety-verdict.yaml
grafana,promtail,6.17.1,default,safe-to-flatten,absent,absent,absent,absent,present,absent,recipes/grafana/promtail/6.17.1/publication/flattening-safety-verdict.yaml
nats,nats,2.14.0,default,safe-to-flatten,absent,absent,absent,absent,present,absent,recipes/nats/nats/2.14.0/publication/flattening-safety-verdict.yaml
minio-operator,tenant,7.1.1,default,unsafe-to-flatten,absent,absent,absent,absent,present,absent,recipes/minio-operator/tenant/7.1.1/publication/flattening-safety-verdict.yaml
external-dns,external-dns,1.21.1,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/external-dns/external-dns/1.21.1/publication/flattening-safety-verdict.yaml
grafana,alloy,1.11.0,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/grafana/alloy/1.11.0/publication/flattening-safety-verdict.yaml
grafana,alloy,1.8.2,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/grafana/alloy/1.8.2/publication/flattening-safety-verdict.yaml
linkerd,linkerd-crds,1.8.0,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/linkerd/linkerd-crds/1.8.0/publication/flattening-safety-verdict.yaml
minio-operator,operator,7.1.1,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/minio-operator/operator/7.1.1/publication/flattening-safety-verdict.yaml
nats,nack,0.34.0,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/nats/nack/0.34.0/publication/flattening-safety-verdict.yaml
prometheus-community,prometheus-operator-crds,29.0.0,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/prometheus-community/prometheus-operator-crds/29.0.0/publication/flattening-safety-verdict.yaml
strimzi,strimzi-kafka-operator,1.0.0,default,flatten-with-routes,absent,absent,absent,absent,absent,present,recipes/strimzi/strimzi-kafka-operator/1.0.0/publication/flattening-safety-verdict.yaml
argo-cd,argo-events,2.4.21,default,flatten-with-routes,absent,absent,present,absent,absent,present,recipes/argo-cd/argo-events/2.4.21/publication/flattening-safety-verdict.yaml
argo-cd,argo-rollouts,2.40.9,default,flatten-with-routes,absent,absent,present,absent,absent,present,recipes/argo-cd/argo-rollouts/2.40.9/publication/flattening-safety-verdict.yaml
argo-cd,argocd-image-updater,1.2.2,default,flatten-with-routes,absent,absent,present,absent,absent,present,recipes/argo-cd/argocd-image-updater/1.2.2/publication/flattening-safety-verdict.yaml
rook-release,rook-ceph,v1.19.5,default,flatten-with-routes,absent,absent,present,absent,absent,present,recipes/rook-release/rook-ceph/v1.19.5/publication/flattening-safety-verdict.yaml
policy-reporter,policy-reporter,3.9.1,default,safe-to-flatten,absent,absent,absent,absent,present,present,recipes/policy-reporter/policy-reporter/3.9.1/publication/flattening-safety-verdict.yaml
bitnami,apache,11.4.29,default,safe-to-flatten,absent,present-gated,absent,absent,present-gated,absent,recipes/bitnami/apache/11.4.29/publication/flattening-safety-verdict.yaml
bitnami,elasticsearch,22.1.6,default,safe-to-flatten,present,present-gated,absent,absent,present-gated,absent,recipes/bitnami/elasticsearch/22.1.6/publication/flattening-safety-verdict.yaml
bitnami,memcached,8.5.5,default,safe-to-flatten,absent,present-gated,absent,absent,present-gated,absent,recipes/bitnami/memcached/8.5.5/publication/flattening-safety-verdict.yaml
bitnami,opensearch,2.0.10,default,safe-to-flatten,absent,present-gated,present,absent,present-gated,absent,recipes/bitnami/opensearch/2.0.10/publication/flattening-safety-verdict.yaml
bitnami,phpmyadmin,20.0.0,default,safe-to-flatten,absent,present-gated,absent,absent,present-gated,absent,recipes/bitnami/phpmyadmin/20.0.0/publication/flattening-safety-verdict.yaml
bitnami,spark,10.0.3,default,safe-to-flatten,absent,present-gated,absent,absent,present-gated,absent,recipes/bitnami/spark/10.0.3/publication/flattening-safety-verdict.yaml
bitnami,zookeeper,13.8.7,default,safe-to-flatten,absent,present-gated,absent,absent,present-gated,absent,recipes/bitnami/zookeeper/13.8.7/publication/flattening-safety-verdict.yaml
bitnami,contour,21.1.4,default,unsafe-to-flatten,present,present-gated,absent,absent,present-gated,present,recipes/bitnami/contour/21.1.4/publication/flattening-safety-verdict.yaml
aqua,trivy-operator,0.32.1,default,unsafe-to-flatten,absent,present,absent,absent,absent,present,recipes/aqua/trivy-operator/0.32.1/publication/flattening-safety-verdict.yaml
aqua,trivy-operator,0.32.1,no-crds,unsafe-to-flatten,absent,present,absent,absent,absent,present-gated,recipes/aqua/trivy-operator/0.32.1/publication/flattening-safety-verdict-no-crds.yaml
argo-cd,argo-cd,10.1.3,default,flatten-with-routes,present,absent,present,absent,absent,present,recipes/argo-cd/argo-cd/10.1.3/publication/flattening-safety-verdict.yaml
argo-cd,argo-cd,10.1.3,no-crds,flatten-with-routes,present,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-cd/10.1.3/publication/flattening-safety-verdict-no-crds.yaml
argo-cd,argo-cd,10.2.1,default,flatten-with-routes,present,absent,present,absent,absent,present,recipes/argo-cd/argo-cd/10.2.1/publication/flattening-safety-verdict.yaml
argo-cd,argo-cd,10.2.1,no-crds,flatten-with-routes,present,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-cd/10.2.1/publication/flattening-safety-verdict-no-crds.yaml
argo-cd,argo-cd,9.5.15,no-crds,flatten-with-routes,present,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-cd/9.5.15/publication/flattening-safety-verdict-no-crds.yaml
argo-cd,argo-cd,9.5.17,default,flatten-with-routes,present,absent,present,absent,absent,present,recipes/argo-cd/argo-cd/9.5.17/publication/flattening-safety-verdict.yaml
argo-cd,argo-cd,9.5.17,no-crds,flatten-with-routes,present,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-cd/9.5.17/publication/flattening-safety-verdict-no-crds.yaml
argo-cd,argo-events,2.4.21,no-crds,safe-to-flatten,absent,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-events/2.4.21/publication/flattening-safety-verdict-no-crds.yaml
argo-cd,argo-rollouts,2.40.9,no-crds,safe-to-flatten,absent,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-rollouts/2.40.9/publication/flattening-safety-verdict-no-crds.yaml
argo-cd,argo-workflows,1.0.14,default,flatten-with-routes,present,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-workflows/1.0.14/publication/flattening-safety-verdict.yaml
argo-cd,argo-workflows,1.0.14,controller-default-reviewed,flatten-with-routes,present,absent,present-gated,absent,absent,present-gated,recipes/argo-cd/argo-workflows/1.0.14/publication/flattening-safety-verdict-controller-default-reviewed.yaml
argo-cd,argo-workflows,1.0.14,minimal-crds,flatten-with-routes,present,absent,present,absent,absent,present,recipes/argo-cd/argo-workflows/1.0.14/publication/flattening-safety-verdict-minimal-crds.yaml
autoscaler,cluster-autoscaler,9.57.0,controller-default-reviewed,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/autoscaler/cluster-autoscaler/9.57.0/publication/flattening-safety-verdict-controller-default-reviewed.yaml
autoscaler,vertical-pod-autoscaler,0.9.0,default,flatten-with-routes,present,absent,absent,present,present-gated,present,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/publication/flattening-safety-verdict.yaml
autoscaler,vertical-pod-autoscaler,0.9.0,no-crds,flatten-with-routes,present,absent,absent,present,present-gated,present-gated,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/publication/flattening-safety-verdict-no-crds.yaml
aws-ebs-csi-driver,aws-ebs-csi-driver,2.60.1,default,safe-to-flatten,present,absent,absent,absent,absent,absent,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/publication/flattening-safety-verdict.yaml
bitnami,apache,11.4.29,legacy,unsafe-to-flatten,absent,present,absent,absent,present-gated,absent,recipes/bitnami/apache/11.4.29/publication/flattening-safety-verdict-legacy.yaml
bitnami,contour,21.1.4,legacy,unsafe-to-flatten,present,present,absent,absent,present-gated,present,recipes/bitnami/contour/21.1.4/publication/flattening-safety-verdict-legacy.yaml
bitnami,contour,21.1.4,no-crds,unsafe-to-flatten,present,present,absent,absent,present-gated,present-gated,recipes/bitnami/contour/21.1.4/publication/flattening-safety-verdict-no-crds.yaml
bitnami,elasticsearch,22.1.6,ha,unsafe-to-flatten,present,present,absent,absent,present-gated,absent,recipes/bitnami/elasticsearch/22.1.6/publication/flattening-safety-verdict-ha.yaml
bitnami,elasticsearch,22.1.6,legacy,unsafe-to-flatten,present,present,absent,absent,present-gated,absent,recipes/bitnami/elasticsearch/22.1.6/publication/flattening-safety-verdict-legacy.yaml
bitnami,mongodb,19.0.7,existing-secret-replicaset,unsafe-to-flatten,absent,present,present-gated,absent,present-gated,absent,recipes/bitnami/mongodb/19.0.7/publication/flattening-safety-verdict-existing-secret-replicaset.yaml
bitnami,mongodb,19.0.7,static-passwords,unsafe-to-flatten,absent,present,present-gated,absent,present,absent,recipes/bitnami/mongodb/19.0.7/publication/flattening-safety-verdict-static-passwords.yaml
bitnami,mongodb,19.0.9,existing-secret-replicaset,unsafe-to-flatten,absent,present,present-gated,absent,present-gated,absent,recipes/bitnami/mongodb/19.0.9/publication/flattening-safety-verdict.yaml
