chart,base,outcome_level,render_parity,in_confighub,local_live,lifecycle_observation,lifecycle_receipt,lifecycle_policy,gitops_oci_live,live_helm_vs_confighub_parity,two_cluster_kind_parity,two_cluster_kind_parity_reason,complete_core_lane_set,missing_or_non_pass_lanes,recipe_path,package_path,variant_revision,evidence_notes
prometheus-community/alertmanager@1.37.0,default,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/prometheus-community/alertmanager/1.37.0,packages/prometheus-community/alertmanager/1.37.0,recipes/prometheus-community/alertmanager/1.37.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/alertmanager-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-alertmanager-1.37.0-default/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-alertmanager-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-alertmanager-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-alertmanager-default/receipt.yaml | runs/live-kind-parity/prometheus-community-alertmanager-default/receipt.yaml
prometheus-community/alertmanager@1.37.0,ha,live-parity,pass,pass,pass,missing,,,pass,pass,missing,,yes,none,recipes/prometheus-community/alertmanager/1.37.0,packages/prometheus-community/alertmanager/1.37.0,recipes/prometheus-community/alertmanager/1.37.0/revisions/ha/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/alertmanager-ha-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-alertmanager-1.37.0-ha/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-alertmanager-ha/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-alertmanager-ha/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-alertmanager-ha/receipt.yaml | no two-cluster kind parity receipt in this repo
prometheus-community/kube-prometheus-stack@85.3.3,default,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/prometheus-community/kube-prometheus-stack/85.3.3,packages/prometheus-community/kube-prometheus-stack/85.3.3,recipes/prometheus-community/kube-prometheus-stack/85.3.3/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/kube-prometheus-stack-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml | runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml
prometheus-community/kube-prometheus-stack@85.3.3,no-crds,live-parity,pass,pass,pass,pass,data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-85.3.3-no-crds.yaml,webhook-cert-lifecycle;target-facts-staged-crds-and-secret;staged-crds=10,pass,pass,pass,,yes,none,recipes/prometheus-community/kube-prometheus-stack/85.3.3,packages/prometheus-community/kube-prometheus-stack/85.3.3,recipes/prometheus-community/kube-prometheus-stack/85.3.3/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/kube-prometheus-stack-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-kube-prometheus-stack-85.3.3-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds/receipt.yaml | lifecycle observation: data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-85.3.3-no-crds.yaml | runs/live-kind-parity/prometheus-community-kube-prometheus-stack-no-crds/receipt.yaml
prometheus-community/kube-prometheus-stack@86.1.0,default,live-parity,pass,pass,pass,pass,data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-86.1.0-default.yaml,webhook-cert-lifecycle;generated-fact-staged-secret;staged-crds=0,pass,pass,missing,,yes,none,recipes/prometheus-community/kube-prometheus-stack/86.1.0,packages/prometheus-community/kube-prometheus-stack/86.1.0,recipes/prometheus-community/kube-prometheus-stack/86.1.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-kube-prometheus-stack-86-1-0-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-kube-prometheus-stack-86.1.0-default/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default-86-1-0/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default-86-1-0/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default-86-1-0/receipt.yaml | lifecycle observation: data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-86.1.0-default.yaml | no two-cluster kind parity receipt in this repo
prometheus-community/kube-prometheus-stack@86.1.0,no-crds,live-parity,pass,pass,pass,pass,data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-86.1.0-no-crds.yaml,webhook-cert-lifecycle;target-facts-staged-crds-and-secret;staged-crds=10,pass,pass,missing,,yes,none,recipes/prometheus-community/kube-prometheus-stack/86.1.0,packages/prometheus-community/kube-prometheus-stack/86.1.0,recipes/prometheus-community/kube-prometheus-stack/86.1.0/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-kube-prometheus-stack-86-1-0-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-kube-prometheus-stack-86.1.0-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds-86-1-0/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds-86-1-0/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds-86-1-0/receipt.yaml | lifecycle observation: data/webhook-cert-lifecycle/receipts/prometheus-community-kube-prometheus-stack-86.1.0-no-crds.yaml | no two-cluster kind parity receipt in this repo
prometheus-community/kube-state-metrics@7.4.0,cluster-metrics-readonly,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/prometheus-community/kube-state-metrics/7.4.0,packages/prometheus-community/kube-state-metrics/7.4.0,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/kube-state-metrics-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-kube-state-metrics-7.4.0-cluster-metrics-readonly/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-kube-state-metrics-cluster-metrics-readonly/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-kube-state-metrics-cluster-metrics-readonly/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-kube-state-metrics-cluster-metrics-readonly/receipt.yaml | runs/live-kind-parity/prometheus-community-kube-state-metrics-cluster-metrics-readonly/receipt.yaml
prometheus-community/kube-state-metrics@7.4.0,default,local-live,pass,pass,pass,missing,,,missing,missing,missing,,no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/kube-state-metrics/7.4.0,packages/prometheus-community/kube-state-metrics/7.4.0,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/kube-state-metrics-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-kube-state-metrics-7.4.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-adapter@5.3.0,apiservice-v1-capability,live-parity,pass,missing,pass,missing,,,pass,pass,missing,,no,confighub_upload_variant_scan_safe_ops,recipes/prometheus-community/prometheus-adapter/5.3.0,packages/prometheus-community/prometheus-adapter/5.3.0,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/apiservice-v1-capability/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/prometheus-community-prometheus-adapter-5.3.0-apiservice-v1-capability/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-apiservice-v1-capability/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-apiservice-v1-capability/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-prometheus-adapter-apiservice-v1-capability/receipt.yaml | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-adapter@5.3.0,cluster-metrics-readonly,in-confighub,pass,pass,blocked,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-adapter/5.3.0,packages/prometheus-community/prometheus-adapter/5.3.0,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-adapter-cluster-metrics-readonly-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-adapter-5.3.0-cluster-metrics-readonly/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
