chart,version,base,recommended_route,required_receipt,receipt_status,hook_types,route_hint,minimum_checks
prometheus-community/kube-prometheus-stack,85.3.3,default,production-disposition-first,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,observed,"post-install, post-upgrade, pre-install, pre-upgrade",preflight-or-presync;postsync-check-or-observation;upgrade-action-with-receipt;preserve-ordering;preserve-cleanup-policy;webhook-readiness-observation;target-facts-or-preflight,hook resources inventoried;route selected;controller or operator action recorded;runtime outcome observed;freshness timestamp recorded
kyverno/kyverno,3.8.1,default,catalog-promotion-review-first,data/hook-lifecycle/receipts/kyverno-kyverno/default/latest.yaml,route-selected,"post-upgrade, pre-delete, test",upgrade-action-with-receipt;delete-cleanup-policy;explicit-test-check;preserve-ordering;preserve-cleanup-policy;target-facts-or-preflight,hook resources inventoried;route selected;controller or operator action recorded;runtime outcome observed;freshness timestamp recorded
fluent/fluent-bit,0.57.6,default,catalog-promotion-review-first,data/hook-lifecycle/receipts/fluent-fluent-bit/default/latest.yaml,observed,test,explicit-test-check;preserve-cleanup-policy,hook resources inventoried;route selected;controller or operator action recorded;runtime outcome observed;freshness timestamp recorded
projectcalico/tigera-operator,v3.32.0,default,recipe-maintenance-review-first,data/hook-lifecycle/receipts/projectcalico-tigera-operator/default/latest.yaml,route-selected,pre-delete,delete-cleanup-policy;preserve-ordering;preserve-cleanup-policy;target-facts-or-preflight,hook resources inventoried;route selected;controller or operator action recorded;runtime outcome observed;freshness timestamp recorded
gatekeeper/gatekeeper,3.22.2,default,recipe-maintenance-review-first,data/hook-lifecycle/receipts/gatekeeper-gatekeeper/default/latest.yaml,partially-observed,"pre-install, pre-upgrade",preflight-or-presync;upgrade-action-with-receipt;preserve-ordering;preserve-cleanup-policy;webhook-readiness-observation,hook resources inventoried;route selected;controller or operator action recorded;runtime outcome observed;freshness timestamp recorded
