chart,base,current_result,next_step_type,reason,support_artifact,receipt,rerun_command
traefik/traefik@40.2.0,no-crds,watch,gitops-runtime-review,gitops-runtime: Argo health Progressing (parity passed),recipes/traefik/traefik/40.2.0/gitops-runtime-review.yaml,runs/live-helm-confighub-compare/traefik-traefik-no-crds/receipt.yaml,npm run live-parity:run -- --recipe recipes/traefik/traefik/40.2.0 --base no-crds
rook-release/rook-ceph-cluster@v1.19.5,default,blocked,stage-prerequisite,target-prerequisite: namespace missing (parity passed),recipes/rook-release/rook-ceph-cluster/v1.19.5/target-prerequisite-plan.yaml,runs/live-helm-confighub-compare/rook-release-rook-ceph-cluster-default/receipt.yaml,npm run live-parity:run -- --recipe recipes/rook-release/rook-ceph-cluster/v1.19.5 --base default
bitnami/opensearch@2.0.10,default,blocked,inspect-parity-diff,parity: semantic object diff,,runs/live-kind-parity/bitnami-opensearch-default/receipt.yaml,npm run kind-parity:run -- --chart bitnami/opensearch --version 2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch@2.0.10,ha,blocked,inspect-parity-diff,parity: semantic object diff,,runs/live-kind-parity/bitnami-opensearch-ha/receipt.yaml,npm run kind-parity:run -- --chart bitnami/opensearch --version 2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts
nats/nack@0.34.0,default,blocked,inspect-parity-diff,parity: semantic object diff,,runs/live-kind-parity/nats-nack-default/receipt.yaml,npm run kind-parity:run -- --chart nats/nack --version 0.34.0 --base default
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,blocked,inspect-receipt,blocked: inspect receipt,,runs/live-kind-parity/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml,npm run kind-parity:run -- --chart autoscaler/cluster-autoscaler --version 9.57.0 --base controller-default-reviewed
elastic/filebeat@8.5.1,default,blocked,stage-prerequisite,target-prerequisite: required Secret missing (parity passed),recipes/elastic/filebeat/8.5.1/target-prerequisite-plan.yaml,runs/live-kind-parity/elastic-filebeat-default/receipt.yaml,npm run kind-parity:run -- --chart elastic/filebeat --version 8.5.1 --base default
fairwinds-stable/vpa@4.11.0,no-crds,watch,stage-prerequisite,target-prerequisite: CRDs disabled or missing (parity passed),,runs/live-kind-parity/fairwinds-stable-vpa-no-crds/receipt.yaml,npm run kind-parity:run -- --chart fairwinds-stable/vpa --version 4.11.0 --base no-crds
kedacore/keda@2.19.0,no-crds,watch,stage-prerequisite,target-prerequisite: required Secret missing (parity passed),,runs/live-kind-parity/kedacore-keda-no-crds/receipt.yaml,npm run kind-parity:run -- --chart kedacore/keda --version 2.19.0 --base no-crds
fairwinds-stable/vpa@4.11.0,default,watch,runtime-review,target-runtime: pod crash loop (parity passed),,runs/live-kind-parity/fairwinds-stable-vpa-default/receipt.yaml,npm run kind-parity:run -- --chart fairwinds-stable/vpa --version 4.11.0 --base default
kyverno/kyverno-policies@3.8.0,default,watch,runtime-review,watch: object parity passed; readiness needs review,,runs/live-kind-parity/kyverno-kyverno-policies-default/receipt.yaml,npm run kind-parity:run -- --chart kyverno/kyverno-policies --version 3.8.0 --base default
